comparison,input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,significant
Microglia_3d_HI_vs_Control,Scpep1,Scpep1,74617,ENSMUSG00000000278,serine carboxypeptidase 1,847.2704266222985,1.6347828854878537,0.12008659304459277,13.613367188132283,3.335165237919178e-42,5.623809707939933e-40,Up,TRUE
Microglia_3d_HI_vs_Control,Hnrnpu,Hnrnpu,51810,ENSMUSG00000039630,heterogeneous nuclear ribonucleoprotein U,952.3711830853006,-1.714063185091481,0.12670276440884906,-13.528222474771583,1.0656941223322004e-41,1.773030834461493e-39,Down,TRUE
Microglia_3d_HI_vs_Control,Hspa5,Hspa5,14828,ENSMUSG00000026864,heat shock protein 5,5388.521015193999,2.2055989998103653,0.16317808430153466,13.51651485094449,1.2495677937631028e-41,2.051593017181052e-39,Up,TRUE
Microglia_3d_HI_vs_Control,Nfkbiz,Nfkbiz,80859,ENSMUSG00000035356,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta",2014.4985150143439,2.534872041838629,0.18810798454013217,13.475621718214853,2.1764429097756658e-41,3.526968133529968e-39,Up,TRUE
Microglia_3d_HI_vs_Control,Ccrl2,Ccrl2,54199,ENSMUSG00000043953,C-C motif chemokine receptor-like 2,2392.4874079242395,5.51351095857407,0.4128744709610299,13.353964331435922,1.1230927675137801e-40,1.7966604555175575e-38,Up,TRUE
Microglia_3d_HI_vs_Control,Adssl1,Adssl1,NA,NA,NA,354.44294974722806,2.698580336283891,0.2032928097855932,13.274352098974886,3.2607917550152392e-40,5.150399939124071e-38,Up,TRUE
Microglia_3d_HI_vs_Control,Il1b,Il1b,16176,ENSMUSG00000027398,interleukin 1 beta,1745.1379254793785,7.062513068264067,0.532651252876705,13.25916916579347,3.992949417552821e-40,6.228002854028012e-38,Up,TRUE
Microglia_3d_HI_vs_Control,Ctsc,Ctsc,13032,ENSMUSG00000030560,cathepsin C,1873.896737550709,1.764194314255999,0.13357101556524423,13.20791271063039,7.898435993457242e-40,1.2167491892143144e-37,Up,TRUE
Microglia_3d_HI_vs_Control,Galns,Galns,50917,ENSMUSG00000015027,galactosamine (N-acetyl)-6-sulfatase,421.58738070129,3.0079764622468534,0.228374920560661,13.17122061766793,1.2850315644302632e-39,1.955441934263515e-37,Up,TRUE
Microglia_3d_HI_vs_Control,Sgpl1,Sgpl1,20397,ENSMUSG00000020097,sphingosine phosphate lyase 1,934.1214845537532,1.7370149307595244,0.1320367435814437,13.155542038100085,1.5814531058981006e-39,2.3775146813730726e-37,Up,TRUE
