comparison,input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,significant
Microglia_1d_HI_vs_Control,Rcc2,Rcc2,108911,ENSMUSG00000040945,regulator of chromosome condensation 2,302.30638062477635,-1.2347447742499806,0.3152555839615501,-3.9166468004594495,8.978914857799605e-5,6.140686606730578e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Sypl,Sypl,NA,NA,NA,481.7789401781044,-0.668815613262995,0.17078440444373488,-3.916139857391587,8.997806305906555e-5,6.150057689596568e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Tbc1d8,Tbc1d8,54610,ENSMUSG00000003134,"TBC1 domain family, member 8",123.38561329960281,-1.2220322926883713,0.31232788932918565,-3.912658249357874,9.128567882288292e-5,6.235837840972959e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Serpinb6b,Serpinb6b,20708,ENSMUSG00000042842,"serine (or cysteine) peptidase inhibitor, clade B, member 6b",56.705250429837726,1.8466988723722089,0.47204223055984335,3.9121475851472423,9.147897585657566e-5,6.245442522189716e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Dars,Dars,NA,NA,NA,637.1441672758605,0.809911289119162,0.20718989349617578,3.909028936945281,9.266786465024405e-5,6.322967943780612e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Mknk2,Mknk2,17347,ENSMUSG00000020190,MAP kinase-interacting serine/threonine kinase 2,319.23874422359455,-1.321672185354826,0.3381223956505002,-3.9088572728585858,9.273372821673642e-5,6.323821328105639e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Rgl2,Rgl2,19732,ENSMUSG00000041354,ral guanine nucleotide dissociation stimulator-like 2,336.6848468718312,-1.355201011270198,0.3467438588045158,-3.908363412527578,9.292345772410454e-5,6.333115704117809e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Plxnb1,Plxnb1,235611,ENSMUSG00000053646,plexin B1,12.020002057280415,-5.022573345844306,1.2857421247470706,-3.9063613528508596,9.369636391365998e-5,6.382122443130449e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Eif4g1,Eif4g1,208643,ENSMUSG00000045983,"eukaryotic translation initiation factor 4, gamma 1",909.1079245837287,1.2718891737494544,0.32578242524068646,3.9041061616807258,9.457426297372836e-5,6.437657273050326e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Ecsit,Ecsit,26940,ENSMUSG00000066839,ECSIT signalling integrator,117.31658551820152,1.4060141308571699,0.36014813012010277,3.903988423841851,9.462030855259592e-5,6.437657273050326e-4,Up,TRUE
