gene_symbol,n_groups,mean_log2FC
Tomm7,5,0.2747629128245882
Dynll1,5,-0.09985440186555276
Cuedc2,5,0.1767278633561089
Tulp4,5,0.1569224396918223
Eif1,5,-0.18475810943443022
Top1,5,-0.0919790699421347
Tpi1,5,0.041899490626980375
Efcab14,5,-0.14101777725639034
Edil3,5,-0.2706911514218317
Tprkb,5,0.0014560012343490872
Echdc2,5,3.615797561036196
Dzip1,5,-0.031771380843443935
Cntn1,5,-0.22810434361623344
Fut9,5,0.005531782841411592
Cbx8,5,0.3055481749194117
Ssr3,5,-0.19579218718794245
Higd2a,5,-0.10036790500904083
Higd1a,5,0.025764357850906687
Srgap3,5,0.2119497415835651
Myo5a,5,0.3667466840332353
Cdc34,5,0.1347676825728526
Cdc42bpb,5,0.16069611292005065
Hcfc1,5,-0.01901146954563301
Haghl,5,0.17310016294533737
Ssh3,5,0.08418059374263602
Gucy1a2,5,0.5667620476563818
Sst,5,-0.06623896087686769
Cd164,5,-0.37962823241250143
Gtf2h5,5,0.11818305158818887
St8sia4,5,-0.284433124195479
Usp9x,5,0.078266350887601
Cdk9,5,0.04661928025839898
Grm3,5,-0.04152125667223359
Gripap1,5,0.15554568141157016
Stk11,5,0.14680556581059082
Usp32,5,-0.004627918787826905
Celsr2,5,0.22749435995513934
Usp31,5,-0.06931957506186634
Hint3,5,-0.019399148476412092
Hmgn2,5,0.011597798937056591
Gpx4,5,0.09264264072060979
Specc1,5,-0.08747591821114324
Ccar1,5,-0.23315896641963843
Socs5,5,0.19399572710456536
Ccdc124,5,0.3700757935977447
Sos1,5,-0.060065603581076765
Ift20,5,0.0030503096725780963
Sox2ot,5,-0.32984132490752927
Spag9,5,-0.18807184824786952
Vps28,5,-0.00494221382192082
Spcs1,5,-0.10421907448786016
Spcs3,5,0.025198834243957167
Hspa5,5,-0.25742098650274253
Ccser2,5,0.011440060951980458
Hspa1a,5,-0.482117462567562
Hspa13,5,-0.02359626617612661
Spire1,5,-0.04285233708852343
Hr,5,0.2076204840098735
Ccng2,5,-0.2029156001760697
Spred2,5,-0.08102543919476639
Homer1,5,-0.19810085124309124
Ccnl2,5,-0.17454915570421636
Hnrnpab,5,1.1257223555737101
Hnrnpa2b1,5,-0.16994297955725193
Stk19,5,0.25508631184323743
Gpr22,5,-0.3764603605601098
Cnot7,5,-0.1799281419360196
Ulk2,5,-0.24310738397811543
Tax1bp1,5,-0.25658382821219367
Tbc1d5,5,0.0957805207912354
Cic,5,0.1914447525844284
Tceal3,5,0.38626429687326386
Tceal5,5,0.3972524514364241
Tceal6,5,0.3702419933824319
Tcf12,5,-0.21381716942821624
Ckap5,5,0.04530038686869642
Glud1,5,0.47467670790197075
Glrx5,5,0.9572106866760256
Glcci1,5,-0.17141608756833446
Uqcrb,5,0.03306804915374739
Ugt8a,5,-0.43139461332841655
Ugp2,5,-0.29628562088500754
Clock,5,-0.11649607102047684
Gdap1l1,5,0.17618198096258117
Gbf1,5,-0.026198013785532798
Gas5,5,0.2248944738681091
Gabarap,5,-0.08261070811540179
Fzd3,5,0.1577104236500822
Cnot6,5,-0.20628006698732207
Cnot6l,5,-0.02456321861896225
Taok1,5,0.14673926330292858
Taf10,5,1.1267569425152462
Gpr162,5,0.1811337607516086
Gnaq,5,0.08820639253909036
Usp2,5,0.278640949870271
Gpm6b,5,-0.28249753183025456
Gpd1,5,0.39061673222110954
Cep97,5,-0.12600400086529187
Cept1,5,-0.29313748620329955
Golga2,5,0.05116432088672693
Gnptab,5,-0.05187787532819705
Cfdp1,5,0.09844151122582284
Stub1,5,0.1904648321238588
Cggbp1,5,-0.3394682867202295
Chchd10,5,-0.01031435483285964
Syt12,5,0.2775105042716758
Chchd6,5,0.16669894493728687
Gmps,5,-0.11993101157955656
Chd5,5,0.10507759103776874
Usf1,5,0.24492821033885354
Use1,5,0.07398394717360895
Chga,5,0.2521410747161396
Sult1a1,5,0.6084875983038351
Chmp2a,5,0.03013661117986943
Swt1,5,-0.2579858199831374
Syp,5,0.17981970971406244
Myo18a,5,0.16041423001112312
Rab3a,5,0.021321716624435244
Rbm27,5,-0.007701811142892488
Rad23a,5,0.2129112368090318
Nebl,5,-0.1879172569370746
