symbol,group,log2FC
Pdpr,Conjugate|brainstem,0.4320606398832483
Akap10,Conjugate|brainstem,0.3627368759163
Stoml2,Conjugate|brainstem,-0.1818016926126525
Enah,Conjugate|brainstem,0.2333374818805181
Frmpd3,Conjugate|brainstem,0.3711636392700814
Opa1,Conjugate|brainstem,0.2768559374717734
Heatr5b,Conjugate|brainstem,0.3895952111401982
Akap6,Conjugate|brainstem,0.4199455760592142
Tmem178b,Conjugate|brainstem,0.3974442052584118
Zbtb38,Conjugate|brainstem,0.2218717596392287
Epha6,Conjugate|brainstem,0.6642595380126775
Mecp2,Conjugate|brainstem,0.306435151025728
Dennd5b,Conjugate|brainstem,0.2974928962901532
Trip11,Conjugate|brainstem,0.2560656716373676
Htt,Conjugate|brainstem,0.2489210663285598
Acaca,Conjugate|brainstem,0.2539357174526313
Scn1a,Conjugate|brainstem,0.43039679393608
Nhs,Conjugate|brainstem,0.3473286645004424
Ldlrad4,Conjugate|brainstem,0.2223117582689116
Magi3,Conjugate|brainstem,0.3443506760659102
Mrps6,Conjugate|brainstem,-0.2894291921399826
Gprin3,Conjugate|brainstem,0.6027180823560022
Sec16a,Conjugate|brainstem,0.2375896780698584
Pde10a,Conjugate|brainstem,0.2791833092804048
Minar1,Conjugate|brainstem,0.4377061642386448
Urb2,Conjugate|brainstem,0.2982347533688941
Myo9a,Conjugate|brainstem,0.252012015342087
Gtf2h5,Conjugate|brainstem,-0.1673008889118359
Arhgap35,Conjugate|brainstem,0.3219130525100262
Synj1,Conjugate|brainstem,0.3343076626328196
Sipa1l1,Conjugate|brainstem,0.2631669120876969
Atp8a2,Conjugate|brainstem,0.3802420665032079
Pdzd8,Conjugate|brainstem,0.3480026979001931
Dnajb11,Conjugate|brainstem,-0.1918534891669859
Mprip,Conjugate|brainstem,0.1510990326583203
Dpp8,Conjugate|brainstem,0.3229019828607322
Lyst,Conjugate|brainstem,0.2322019623638016
Rps27a,Conjugate|brainstem,-0.2769823907173276
Smarca4,Conjugate|brainstem,0.1175676690341668
Abca3,Conjugate|brainstem,0.1815327120573974
Add2,Conjugate|brainstem,0.2874970704316927
Cd93,Conjugate|brainstem,-0.4749891346366559
Tulp4,Conjugate|brainstem,0.209475628453227
Ltn1,Conjugate|brainstem,0.2092892112515363
Rubcn,Conjugate|brainstem,0.1499602875385539
Nr3c2,Conjugate|brainstem,0.2325561196136715
Mideas,Conjugate|brainstem,0.2798826543953995
Mtor,Conjugate|brainstem,0.2950069018263013
Arid1b,Conjugate|brainstem,0.3065133974823383
Prdx2,Conjugate|brainstem,-0.1262917924803237
Slirp,Conjugate|brainstem,-0.2431698548291563
Apbb2,Conjugate|brainstem,0.2025138983896884
Tsc22d2,Conjugate|brainstem,0.2207756072291989
Tmem50a,Conjugate|brainstem,-0.1547516562128137
Ksr2,Conjugate|brainstem,0.3581689617383294
Wwc2,Conjugate|brainstem,0.2218692285326222
Adra1a,Conjugate|brainstem,0.5999402194669098
Cnpy4,Conjugate|brainstem,-0.2844209228199207
Bltp2,Conjugate|brainstem,0.145357076750003
Iqsec3,Conjugate|brainstem,0.2510070607974971
Pakap,Conjugate|brainstem,0.6725803562227518
Cep170b,Conjugate|brainstem,0.2210119732142426
Ylpm1,Conjugate|brainstem,0.2735632486400399
Bdp1,Conjugate|brainstem,0.238818682264737
Ptma,Conjugate|brainstem,-0.134845408512607
Hspa5,Conjugate|brainstem,-0.2002009404994683
Cnnm2,Conjugate|brainstem,0.2824346063373233
Fhip2a,Conjugate|brainstem,0.1834637971074722
Sgip1,Conjugate|brainstem,0.3337483249886145
Hectd1,Conjugate|brainstem,0.2580851442759269
Slitrk4,Conjugate|brainstem,0.3244540716152753
Rps17,Conjugate|brainstem,-0.2404094146455103
Gstm5,Conjugate|brainstem,-0.1765235097976009
Plcxd3,Conjugate|brainstem,0.8226525732830001
Pcm1,Conjugate|brainstem,0.3595522958541874
Phf24,Conjugate|brainstem,0.1847464939297479
Kdm2a,Conjugate|brainstem,0.1647089982682074
Dlg5,Conjugate|brainstem,0.1857907272333303
Hapstr1,Conjugate|brainstem,0.1840773653048384
Tbc1d5,Conjugate|brainstem,0.2378953931050249
Ncam2,Conjugate|brainstem,0.5308651655644335
Nebl,Conjugate|brainstem,0.1953622907919919
Aff3,Conjugate|brainstem,0.2866525227216778
Rock2,Conjugate|brainstem,0.2118960179963723
Akap11,Conjugate|brainstem,0.3059686667930148
Tenm3,Conjugate|brainstem,0.5093814231686671
Pcdh11x,Conjugate|brainstem,0.5339607753153917
Gm26782,Conjugate|brainstem,0.3152542143549033
Phc3,Conjugate|brainstem,0.1882533140966596
Mical3,Conjugate|brainstem,0.1426970042878892
Bltp3a,Conjugate|brainstem,0.2164531480646518
Rictor,Conjugate|brainstem,0.2302226865556809
Lnpep,Conjugate|brainstem,0.2947239478156763
Ddi2,Conjugate|brainstem,0.2001778320005723
Dennd4a,Conjugate|brainstem,0.301675199747005
Spag9,Conjugate|brainstem,0.2043288844559644
Cpeb2,Conjugate|brainstem,0.2642246340193389
Fbxl18,Conjugate|brainstem,0.1820496451600922
Pbrm1,Conjugate|brainstem,0.254333039654641
Pde4d,Conjugate|brainstem,0.5134511372238837
Naca,Conjugate|brainstem,-0.1788879807158741
Eea1,Conjugate|brainstem,0.2544244151817496
Vps35l,Conjugate|brainstem,0.133856828581364
Pcbp2,Conjugate|brainstem,-0.1296636248039049
Ncor1,Conjugate|brainstem,0.1539015402899877
Pard3,Conjugate|brainstem,0.2073894144940854
Rusc2,Conjugate|brainstem,0.1645134367184657
Wdr7,Conjugate|brainstem,0.3560723368223906
Dis3l2,Conjugate|brainstem,0.1943498615953955
Rpl22l1,Conjugate|brainstem,-0.2271124736156244
Thoc7,Conjugate|brainstem,-0.1853678029637746
Rrp12,Conjugate|brainstem,0.2408088215787073
Zbtb7a,Conjugate|brainstem,0.1878435693166986
Adar,Conjugate|brainstem,0.2211268337765293
Kif21a,Conjugate|brainstem,0.2070053719122442
Zfp318,Conjugate|brainstem,0.1938917808033944
Nsd1,Conjugate|brainstem,0.1439731408259207
Irs2,Conjugate|brainstem,0.3441157081509594
Rchy1,Conjugate|brainstem,-0.1942233813014338
Cramp1,Conjugate|brainstem,0.1722396331095467
Pom121,Conjugate|brainstem,0.2838003677352838
Pcdhgb2,Conjugate|brainstem,0.3629236311668647
Etl4,Conjugate|brainstem,0.3453280976565017
Afap1l1,Conjugate|brainstem,-0.308871413650037
Abca2,Conjugate|brainstem,0.1648217590635917
Znfx1,Conjugate|brainstem,0.2084144512015606
