gene,accession,condition
Ccnt1,Acc3,Obesity/GLP-1R
Ccnt2,Acc3,Obesity/GLP-1R
Ccp110,Acc3,Obesity/GLP-1R
Cd164,Acc3,Obesity/GLP-1R
Cd248,Acc3,Obesity/GLP-1R
Cd24a,Acc3,Obesity/GLP-1R
Cd320,Acc3,Obesity/GLP-1R
Cd33,Acc3,Obesity/GLP-1R
Cd46,Acc3,Obesity/GLP-1R
Cd47,Acc3,Obesity/GLP-1R
Cd53,Acc3,Obesity/GLP-1R
Cd63,Acc3,Obesity/GLP-1R
Cd68,Acc3,Obesity/GLP-1R
Cd93,Acc3,Obesity/GLP-1R
Cdc25b,Acc3,Obesity/GLP-1R
Cdc42,Acc3,Obesity/GLP-1R
Cdc42bpa,Acc3,Obesity/GLP-1R
Cdc42bpb,Acc3,Obesity/GLP-1R
Cdc42ep1,Acc3,Obesity/GLP-1R
Cdc42ep2,Acc3,Obesity/GLP-1R
Cdc7,Acc3,Obesity/GLP-1R
Cdc73,Acc3,Obesity/GLP-1R
Cdh10,Acc3,Obesity/GLP-1R
Cdh11,Acc3,Obesity/GLP-1R
Cdh12,Acc3,Obesity/GLP-1R
Cdh13,Acc3,Obesity/GLP-1R
Cdh2,Acc3,Obesity/GLP-1R
Cdh20,Acc3,Obesity/GLP-1R
Cdh22,Acc3,Obesity/GLP-1R
Cdh6,Acc3,Obesity/GLP-1R
Cdh7,Acc3,Obesity/GLP-1R
Cdh8,Acc3,Obesity/GLP-1R
Cdk10,Acc3,Obesity/GLP-1R
Cdk11b,Acc3,Obesity/GLP-1R
Cdk12,Acc3,Obesity/GLP-1R
Cdk13,Acc3,Obesity/GLP-1R
Cdk14,Acc3,Obesity/GLP-1R
Cdk19,Acc3,Obesity/GLP-1R
Cdk2ap1,Acc3,Obesity/GLP-1R
Cdk2ap2,Acc3,Obesity/GLP-1R
Cdk5rap1,Acc3,Obesity/GLP-1R
Cdkl2,Acc3,Obesity/GLP-1R
Cdkl5,Acc3,Obesity/GLP-1R
Cdkn1a,Acc3,Obesity/GLP-1R
Cdkn1b,Acc3,Obesity/GLP-1R
Cdkn2aip,Acc3,Obesity/GLP-1R
Cds2,Acc3,Obesity/GLP-1R
Cdyl,Acc3,Obesity/GLP-1R
Cdyl2,Acc3,Obesity/GLP-1R
Cebpb,Acc3,Obesity/GLP-1R
Cebpg,Acc3,Obesity/GLP-1R
Cebpzos,Acc3,Obesity/GLP-1R
Celsr3,Acc3,Obesity/GLP-1R
Cemip2,Acc3,Obesity/GLP-1R
Cenpv,Acc3,Obesity/GLP-1R
Cenpx,Acc3,Obesity/GLP-1R
Cep15,Acc3,Obesity/GLP-1R
Cep170,Acc3,Obesity/GLP-1R
Cep192,Acc3,Obesity/GLP-1R
Cep290,Acc3,Obesity/GLP-1R
Cep350,Acc3,Obesity/GLP-1R
Cep57l1,Acc3,Obesity/GLP-1R
Cep85l,Acc3,Obesity/GLP-1R
Cep97,Acc3,Obesity/GLP-1R
Cept1,Acc3,Obesity/GLP-1R
Cert1,Acc3,Obesity/GLP-1R
Cetn3,Acc3,Obesity/GLP-1R
Cfap119,Acc3,Obesity/GLP-1R
Cfap298,Acc3,Obesity/GLP-1R
Cfap300,Acc3,Obesity/GLP-1R
Cfap418,Acc3,Obesity/GLP-1R
Cfap46,Acc3,Obesity/GLP-1R
Cfdp1,Acc3,Obesity/GLP-1R
Cfl2,Acc3,Obesity/GLP-1R
Cfp,Acc3,Obesity/GLP-1R
Cggbp1,Acc3,Obesity/GLP-1R
Cgnl1,Acc3,Obesity/GLP-1R
Chac1,Acc3,Obesity/GLP-1R
Chac2,Acc3,Obesity/GLP-1R
Chaf1a,Acc3,Obesity/GLP-1R
Chchd10,Acc3,Obesity/GLP-1R
Chchd5,Acc3,Obesity/GLP-1R
Chchd6,Acc3,Obesity/GLP-1R
Chchd7,Acc3,Obesity/GLP-1R
Chd3,Acc3,Obesity/GLP-1R
Chd5,Acc3,Obesity/GLP-1R
Chd6,Acc3,Obesity/GLP-1R
Chdh,Acc3,Obesity/GLP-1R
Cherp,Acc3,Obesity/GLP-1R
Chga,Acc3,Obesity/GLP-1R
Chgb,Acc3,Obesity/GLP-1R
Chic1,Acc3,Obesity/GLP-1R
Chka,Acc3,Obesity/GLP-1R
Chm,Acc3,Obesity/GLP-1R
Chmp1b2,Acc3,Obesity/GLP-1R
Chmp2b,Acc3,Obesity/GLP-1R
Chordc1,Acc3,Obesity/GLP-1R
Chpt1,Acc3,Obesity/GLP-1R
Chrd,Acc3,Obesity/GLP-1R
Chrm2,Acc3,Obesity/GLP-1R
Chrna7,Acc3,Obesity/GLP-1R
Chst12,Acc3,Obesity/GLP-1R
Chsy1,Acc3,Obesity/GLP-1R
Chsy3,Acc3,Obesity/GLP-1R
Chtf8,Acc3,Obesity/GLP-1R
Chtop,Acc3,Obesity/GLP-1R
Chuk,Acc3,Obesity/GLP-1R
Cib2,Acc3,Obesity/GLP-1R
Cic,Acc3,Obesity/GLP-1R
Cimap1b,Acc3,Obesity/GLP-1R
Cipc,Acc3,Obesity/GLP-1R
Cirbp,Acc3,Obesity/GLP-1R
Cisd2,Acc3,Obesity/GLP-1R
Cit,Acc3,Obesity/GLP-1R
Clca3a1,Acc3,Obesity/GLP-1R
Clcn3,Acc3,Obesity/GLP-1R
Clcn5,Acc3,Obesity/GLP-1R
Cldn12,Acc3,Obesity/GLP-1R
Cldn5,Acc3,Obesity/GLP-1R
Cldnd1,Acc3,Obesity/GLP-1R
Clk1,Acc3,Obesity/GLP-1R
Clk4,Acc3,Obesity/GLP-1R
Clock,Acc3,Obesity/GLP-1R
Clstn2,Acc3,Obesity/GLP-1R
Cltc,Acc3,Obesity/GLP-1R
Cmip,Acc3,Obesity/GLP-1R
Cmpk1,Acc3,Obesity/GLP-1R
Cmtm3,Acc3,Obesity/GLP-1R
Cnbd2,Acc3,Obesity/GLP-1R
Cnep1r1,Acc3,Obesity/GLP-1R
Cnih1,Acc3,Obesity/GLP-1R
Cnksr2,Acc3,Obesity/GLP-1R
Cnn2,Acc3,Obesity/GLP-1R
Cnot1,Acc3,Obesity/GLP-1R
Cnot3,Acc3,Obesity/GLP-1R
Cnot6,Acc3,Obesity/GLP-1R
Cnot6l,Acc3,Obesity/GLP-1R
Cnot7,Acc3,Obesity/GLP-1R
Cnpy3,Acc3,Obesity/GLP-1R
Cnpy4,Acc3,Obesity/GLP-1R
Cntn1,Acc3,Obesity/GLP-1R
Cntnap1,Acc3,Obesity/GLP-1R
Cntnap2,Acc3,Obesity/GLP-1R
Cntnap4,Acc3,Obesity/GLP-1R
Coa3,Acc3,Obesity/GLP-1R
Cobll1,Acc3,Obesity/GLP-1R
Col11a1,Acc3,Obesity/GLP-1R
Col15a1,Acc3,Obesity/GLP-1R
Col25a1,Acc3,Obesity/GLP-1R
Col26a1,Acc3,Obesity/GLP-1R
Col4a2,Acc3,Obesity/GLP-1R
Col9a2,Acc3,Obesity/GLP-1R
Commd1,Acc3,Obesity/GLP-1R
Commd8,Acc3,Obesity/GLP-1R
Comtd1,Acc3,Obesity/GLP-1R
Coprs,Acc3,Obesity/GLP-1R
Cops2,Acc3,Obesity/GLP-1R
Coq10b,Acc3,Obesity/GLP-1R
Coq7,Acc3,Obesity/GLP-1R
Coq8a,Acc3,Obesity/GLP-1R
Coro1c,Acc3,Obesity/GLP-1R
Cox14,Acc3,Obesity/GLP-1R
Cox17,Acc3,Obesity/GLP-1R
Cox20,Acc3,Obesity/GLP-1R
Cox4i1,Acc3,Obesity/GLP-1R
Cox5b,Acc3,Obesity/GLP-1R
Cox6a1,Acc3,Obesity/GLP-1R
Cox6b1,Acc3,Obesity/GLP-1R
Cox6c,Acc3,Obesity/GLP-1R
Cox7a2,Acc3,Obesity/GLP-1R
