Accession,Condition,GeneSet,Term,NES,FDR
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.4006049825662388,0.208110992529349
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.3642226171431378,0.26534151547491996
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.3606382758316198,0.24527366976673273
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.3434403588327897,0.2588380469583778
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.3363626427275197,0.25088936321593736
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.3067872943371692,0.2882337246531484
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.294492680783806,0.290409430484137
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.2780967529339844,0.3000266808964781
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.1856084758566254,0.5234791889007471
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.1645132150246598,0.5604131727397469
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.1475291801864584,0.5834044823906083
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.1218981242170427,0.6464447705442903
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.1104305724372439,0.6500408060769666
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.1012765780128204,0.6405193881181074
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.0856667255578454,0.6588355895073864
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.0676584972380103,0.6898879402347919
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.0562679041174565,0.6912257966153378
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.0462031615696534,0.6896041525177065
Acc6,Obesity/GLP-1R,Hallmark,prerank,1.0146541645663576,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.0071387828830098,0.779963806783908
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.9876587320549505,0.8111993062966915
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.9848404656742853,0.7858271077908217
Acc6,Obesity/GLP-1R,Hallmark,prerank,0.9713656008332567,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.940710206887945,0.8772678762006404
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.9292491902039569,0.8779200758923277
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.9212270633878894,0.8703499008995274
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.9134134402008336,0.8658134913333088
Acc6,Obesity/GLP-1R,Hallmark,prerank,0.8637130108991342,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.8622599103040404,0.9573105656350053
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.8572418035999569,0.937842117946776
Acc6,Obesity/GLP-1R,Hallmark,prerank,0.8465991021096706,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,0.8347329065703191,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.8316034272925619,0.9673909418356458
Acc6,Obesity/GLP-1R,Hallmark,prerank,0.8266059404087294,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.8189675557786964,0.9645629184049674
Acc6,Obesity/GLP-1R,Hallmark,prerank,0.8168031842084985,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.7680281768646068,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.7425903819255892,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.6569185507286469,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,0.6355812054954281,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,0.5776034064346934,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.549636541817692,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.5048359928683072,1.0
Acc6,Obesity/GLP-1R,Hallmark,prerank,0.41544520810189817,0.9984025559105432
Acc6,Obesity/GLP-1R,Hallmark,prerank,-0.2981750944259689,1.0
Acc8,Aging,Hallmark,prerank,-1.579817881220928,0.2268041237113402
Acc8,Aging,Hallmark,prerank,1.4880171841027192,0.3935061788223892
Acc8,Aging,Hallmark,prerank,1.4348550647818246,0.3426217591470802
Acc8,Aging,Hallmark,prerank,-1.3757616844536686,0.5040091638029782
Acc8,Aging,Hallmark,prerank,1.322864019531367,0.6490590420806074
Acc8,Aging,Hallmark,prerank,-1.2996689145051676,0.5964108438335243
Acc8,Aging,Hallmark,prerank,1.271343413768196,0.7378240852919796
Acc8,Aging,Hallmark,prerank,1.2604249435052024,0.6404652289798886
Acc8,Aging,Hallmark,prerank,1.249713462175348,0.5755593247718278
Acc8,Aging,Hallmark,prerank,-1.193178795603211,0.8505154639175257
Acc8,Aging,Hallmark,prerank,1.172722513260217,0.803489217349164
Acc8,Aging,Hallmark,prerank,-1.1187024517918072,1.0
Acc8,Aging,Hallmark,prerank,-1.1123529759049948,0.8904161893852616
Acc8,Aging,Hallmark,prerank,1.090564580762244,1.0
Acc8,Aging,Hallmark,prerank,-1.0781637595791056,0.9612174766813943
Acc8,Aging,Hallmark,prerank,-1.0562422952327217,0.95446735395189
Acc8,Aging,Hallmark,prerank,1.0149970661768455,1.0
Acc8,Aging,Hallmark,prerank,0.9929570436246683,1.0
Acc8,Aging,Hallmark,prerank,-0.9643337257620995,1.0
Acc8,Aging,Hallmark,prerank,0.9286117101524672,1.0
Acc8,Aging,Hallmark,prerank,-0.913833887999102,1.0
Acc8,Aging,Hallmark,prerank,0.8998750139672658,1.0
Acc8,Aging,Hallmark,prerank,-0.8838535369189973,1.0
Acc8,Aging,Hallmark,prerank,-0.8720478592668452,1.0
Acc8,Aging,Hallmark,prerank,-0.8465865761640043,1.0
Acc8,Aging,Hallmark,prerank,-0.845518864302331,1.0
Acc8,Aging,Hallmark,prerank,0.8250940056308357,1.0
Acc8,Aging,Hallmark,prerank,0.8216550409775123,1.0
Acc8,Aging,Hallmark,prerank,0.81850039625534,1.0
Acc8,Aging,Hallmark,prerank,-0.7615520575913536,1.0
Acc8,Aging,Hallmark,prerank,0.7590453877388502,1.0
Acc8,Aging,Hallmark,prerank,0.7393067943493266,1.0
Acc8,Aging,Hallmark,prerank,0.680526713023666,1.0
Acc8,Aging,Hallmark,prerank,-0.6729771326107467,1.0
Acc8,Aging,Hallmark,prerank,0.6458195350804281,1.0
Acc8,Aging,Hallmark,prerank,-0.644468309186836,1.0
Acc8,Aging,Hallmark,prerank,0.6367081614251475,1.0
Acc8,Aging,Hallmark,prerank,-0.5975023006980733,1.0
Acc8,Aging,Hallmark,prerank,-0.5953767971597236,1.0
Acc8,Aging,Hallmark,prerank,0.5781228353555862,1.0
Acc8,Aging,Hallmark,prerank,0.5773659567806771,1.0
Acc8,Aging,Hallmark,prerank,0.5678895663068734,1.0
Acc8,Aging,Hallmark,prerank,0.556245048944382,1.0
Acc8,Aging,Hallmark,prerank,0.5337869881993972,1.0
Acc8,Aging,Hallmark,prerank,-0.5220065516871794,1.0
