Term,k,M,K,N,pval,odds_ratio,genes,padj,neg_log10_pval,combined_score,Accession,GeneSet,Condition
Ubiquitin mediated proteolysis,32,136,3316,30178,2.340448902737065e-05,2.1524099180185456,"ANAPC13,BIRC6,BTRC,CBL,CBLB,CUL4B,ELOB,HERC2,HERC4,HUWE1,ITCH,PIAS2,RCHY1,SIAH1A,SKP2,SMURF2,STUB1,TRIP12,UBA6,UBE2A,UBE2B,UBE2D1,UBE2E3,UBE2G1,UBE2J1,UBE2Q2,UBE2W,UBE3A,UBE4A,WWP1,WWP2,XIAP",0.0001015341803393,4.630700836058254,5.316818876288545,Acc3,KEGG,Obesity/GLP-1R
Morphine addiction,24,90,3316,30178,2.7623926559248576e-05,2.437196115954355,"ADCY3,ADCY4,ADCY5,ADCY9,GABBR2,GABRA1,GABRA2,GABRB1,GABRB2,GABRB3,GABRG1,GABRG2,GNAI1,GNAI3,GNG13,GRK4,GRK5,KCNJ6,OPRM1,PDE10A,PDE3B,PDE4D,PDE7B,PDE8B",0.0001181022947098,4.558714589268923,5.628444577283744,Acc3,KEGG,Obesity/GLP-1R
Pancreatic secretion,23,85,3316,30178,3.1272304354092325e-05,2.4726971010687238,"ADCY3,ADCY4,ADCY5,ADCY9,ATP1A3,ATP2A2,ATP2B2,ATP2B3,ATP2B4,CAR2,CLCA3A1,ITPR2,KCNMA1,PLA2G3,PLCB1,PLCB2,RAB11A,RAB27B,RAP1B,RYR2,SLC12A2,SLC4A4,TRPC1",0.0001317904254922,4.504840115834327,5.608217608641283,Acc3,KEGG,Obesity/GLP-1R
Transcriptional misregulation in cancer,36,163,3316,30178,3.265752695637439e-05,2.021006018258833,"AFF1,ARNT2,ATF1,ATM,BAX,BCL2L1,BMI1,BMP2K,CCNT1,CCNT2,CDK14,CDKN1A,CDKN1B,CEBPB,DDIT3,DDX5,DUSP6,ERG,ETV5,ETV6,FLI1,FOXO1,GADD45G,IGFBP3,ITGAM,KDM6A,KLF3,MAF,MEF2C,MLLT3,NR4A3,NSD2,PLAT,PRCC,SIX4,SP1",0.0001356897246778,4.486016706000617,4.959694736909123,Acc3,KEGG,Obesity/GLP-1R
Nicotine addiction,14,39,3316,30178,3.7892406796848176e-05,3.2764495631761914,"CHRNA7,GABRA1,GABRA2,GABRB1,GABRB2,GABRB3,GABRG1,GABRG2,GRIN1,GRIN2A,GRIN2B,GRIN2D,GRIN3A,SLC17A6",0.0001547279719685,4.421447808940001,6.424908052818001,Acc3,KEGG,Obesity/GLP-1R
Progesterone-mediated oocyte maturation,23,86,3316,30178,3.828861679222425e-05,2.443863596399237,"ADCY3,ADCY4,ADCY5,ADCY9,ANAPC13,CDC25B,CPEB1,CPEB2,CPEB3,CPEB4,GNAI1,GNAI3,KRAS,MAD1L1,MAD2L1,MAPK8,PDE3B,PGR,PIK3CB,PIK3R1,PIK3R3,RPS6KA3,RPS6KA6",0.0001547279719685,4.416930322614311,5.461949445369226,Acc3,KEGG,Obesity/GLP-1R
Protein processing in endoplasmic reticulum,35,158,3316,30178,3.9056360331400406e-05,2.026766069884714,"ATF6,ATXN3,BAG1,BAX,CRYAB,DDIT3,DERL2,DNAJA1,DNAJB1,DNAJC3,EDEM1,EDEM3,EIF2S1,HSPA4L,HSPA5,MAN1A2,MAPK8,MBTPS2,NFE2L2,NSFL1C,OS9,SAR1B,SEC23A,SEC24A,SEC61B,SEL1L,SSR3,STUB1,TRAM1,UBE2D1,UBE2G1,UBE2J1,UBQLN2,UBXN6,WFS1",0.0001556976526724,4.4083082311362025,4.882178204197228,Acc3,KEGG,Obesity/GLP-1R
Neuroactive ligand-receptor interaction,58,313,3316,30178,4.829172473263508e-05,1.6985691007705248,"ADCYAP1R1,ADRA1A,AGT,C3,CALCRL,CHRM2,CHRNA7,DRD2,EDNRB,GABBR2,GABRA1,GABRA2,GABRB1,GABRB2,GABRB3,GABRG1,GABRG2,GHRH,GLRA1,GLRA3,GLRB,GRID1,GRIK3,GRIK4,GRIN1,GRIN2A,GRIN2B,GRIN2D,GRIN3A,GRM1,GRM3,GRM5,GRM7,HCRTR2,HTR1B,HTR2A,HTR2C,HTR6,MCHR1,NPY,NPY1R,NPY2R,NPY5R,NR3C1,NTS,OPRD1,OPRM1,P2RX7,P2RY1,P2RY13,PARD3,PRLR,PTGER2,RXFP1,SST,THRA,THRB,TRHR",0.000189947450615,4.316127283552024,4.2847130842251895,Acc3,KEGG,Obesity/GLP-1R
Platelet activation,29,123,3316,30178,5.307977040584443e-05,2.155748772053752,"ADCY3,ADCY4,ADCY5,ADCY9,ARHGAP35,ARHGEF1,ARHGEF12,GNA13,GNAI1,GNAI3,GUCY1A2,ITPR2,NOS3,P2RY1,P2RY12,PIK3CB,PIK3R1,PIK3R3,PLA2G4A,PLCB1,PLCB2,PPP1CB,PTGS1,RAP1B,ROCK1,ROCK2,SNAP23,TBXAS1,TLN2",0.0002060333193384,4.275070964324756,4.913021834227633,Acc3,KEGG,Obesity/GLP-1R
GABAergic synapse,23,88,3316,30178,5.669349647329024e-05,2.388162507833183,"ADCY3,ADCY4,ADCY5,ADCY9,CACNA1C,GABBR2,GABRA1,GABRA2,GABRB1,GABRB2,GABRB3,GABRG1,GABRG2,GLS,GLUL,GNAI1,GNAI3,GNG13,KCNJ6,PLCL1,SLC12A5,SLC38A2,SLC6A11",0.0002172023566184,4.246466757822407,5.181911328628451,Acc3,KEGG,Obesity/GLP-1R
RNA degradation,21,77,3316,30178,5.9965237854673e-05,2.4913935568240446,"BTG2,BTG3,C1D,CNOT1,CNOT3,CNOT6,CNOT6L,CNOT7,DCP2,DHX36,ENO1B,EXOSC10,LSM3,LSM4,LSM7,PNPT1,TENT4B,TOB1,TOB2,XRN1,ZCCHC7",0.0002267916047067,4.222100439332263,5.278896217588041,Acc3,KEGG,Obesity/GLP-1R
Cholinergic synapse,27,112,3316,30178,6.290833146029613e-05,2.2036659507377183,"ADCY3,ADCY4,ADCY5,ADCY9,CACNA1C,CAMK2D,CAMK4,CHRM2,CHRNA7,CREB1,CREB5,FOS,GNAI1,GNAI3,GNG13,HRAS,ITPR2,KCNJ2,KCNJ6,KCNQ5,KRAS,NRAS,PIK3CB,PIK3R1,PIK3R3,PLCB1,PLCB2",0.0002349108579846,4.201291833606856,4.891546283941235,Acc3,KEGG,Obesity/GLP-1R
Cardiac muscle contraction,20,72,3316,30178,6.718562535220199e-05,2.537181989489261,"ATP1A3,ATP2A2,CACNA1C,CACNB4,CACNG8,COX4I1,COX5B,COX6A1,COX6B1,COX6C,COX7A2,COX7B,COX7C,RYR2,SLC8A1,SLC9A6,TPM4,UQCR10,UQCR11,UQCRQ",0.0002477469934862,4.172723636142757,5.271528461624865,Acc3,KEGG,Obesity/GLP-1R
Purine metabolism,30,131,3316,30178,7.089171250884554e-05,2.093976223235925,"ADA,ADCY3,ADCY4,ADCY5,ADCY9,AK4,APRT,DCK,ENPP4,GMPR,GMPS,GUCY1A2,NME1,NME2,NME6,NT5C,NT5C1A,NT5C3,NT5E,NUDT5,PAPSS2,PDE10A,PDE3B,PDE4D,PDE7B,PDE8B,PRPS2,RRM1,RRM2B,XDH",0.0002581858665445,4.14940453240578,4.68657427431049,Acc3,KEGG,Obesity/GLP-1R
Inositol phosphate metabolism,20,73,3316,30178,8.306451263699083e-05,2.5023429515911912,"ALDH6A1,IMPA1,INPP4B,INPP5D,ITPKB,MTM1,MTMR1,MTMR4,PI4K2B,PIK3C2A,PIK3C2B,PIK3CB,PIKFYVE,PLCB1,PLCB2,PLCE1,PTEN,SACM1L,SYNJ1,SYNJ2",0.0002952292919025,4.080584478714851,5.114735814270227,Acc3,KEGG,Obesity/GLP-1R
Bacterial invasion of epithelial cells,20,73,3316,30178,8.306451263699083e-05,2.5023429515911912,"ARHGEF26,CAV1,CAV2,CBL,CDC42,CLTC,CRK,CTNNA3,DNM1,DNM2,DNM3,DOCK1,GAB1,HCLS1,PIK3CB,PIK3R1,PIK3R3,SHC3,SHC4,WASL",0.0002970110951758,4.080584478714851,5.114735814270227,Acc3,KEGG,Obesity/GLP-1R
Cushing syndrome,33,151,3316,30178,8.45726508297352e-05,1.998785875326602,"ADCY3,ADCY4,ADCY5,ADCY9,AGT,APC,APC2,ATF2,CACNA1C,CACNA1I,CAMK2D,CCNE2,CDKN1A,CDKN1B,CREB1,CREB5,E2F3,EGFR,FZD2,FZD3,FZD5,GNAI1,GNAI3,GSK3B,ITPR2,PDE8B,PLCB1,PLCB2,RAP1B,RASD1,RB1,SP1,USP8",0.0002970110951758,4.072770056748405,4.472746616098018,Acc3,KEGG,Obesity/GLP-1R
Human T-cell leukemia virus 1 infection,44,225,3316,30178,0.0001061927198758,1.7901332817185025,"ADCY3,ADCY4,ADCY5,ADCY9,ATF2,ATM,ATR,BAX,BCL2L1,CCND3,CCNE2,CDKN1A,CHUK,CREB1,CREB5,CRTC2,E2F3,EP300,ETS1,FDPS,FOS,HRAS,IL1R1,JAK1,KAT2B,KRAS,MAD1L1,MAD2L1,MAPK8,NFKBIA,NRAS,PIK3CB,PIK3R1,PIK3R3,PPP3CB,PPP3R1,PTEN,RB1,SLC2A1,SMAD4,TGFBR1,TLN2,XIAP,XPO1",0.0003685512042749,3.97390525562858,4.07758192396429,Acc3,KEGG,Obesity/GLP-1R
