input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME
1700016G22Rik,1700016G22Rik,71867,ENSMUSG00000100625,RIKEN cDNA 1700016G22 gene
1700016H13Rik,1700016H13Rik,74218,ENSMUSG00000029320,RIKEN cDNA 1700016H13 gene
1700016K19Rik,1700016K19Rik,NA,NA,NA
1700016L04Rik,1700016L04Rik,69412,ENSMUSG00000019865,RIKEN cDNA 1700016L04 gene
1700016L21Rik,1700016L21Rik,72208,ENSMUSG00000101483,RIKEN cDNA 1700016L21 gene
1700016P04Rik,1700016P04Rik,69413,ENSMUSG00000101894,RIKEN cDNA 1700016P04 gene
1700017B05Rik,1700017B05Rik,74211,ENSMUSG00000032300,RIKEN cDNA 1700017B05 gene
1700017D01Rik,1700017D01Rik,NA,NA,NA
1700017G19Rik,1700017G19Rik,100040882,ENSMUSG00000037884,RIKEN cDNA 1700017G19 gene
1700017J07Rik,1700017J07Rik,75508,NA,RIKEN cDNA 1700017J07 gene
1700017N19Rik,1700017N19Rik,66605,ENSMUSG00000056912,RIKEN cDNA 1700017N19 gene
1700018A04Rik,1700018A04Rik,71307,ENSMUSG00000038408,RIKEN cDNA 1700018A04 gene
1700018B08Rik,1700018B08Rik,76405,ENSMUSG00000031809,RIKEN cDNA 1700018B08 gene
1700018B24Rik,1700018B24Rik,66332,NA,enhancer of rudimentary homolog pseudogene
1700018C11Rik,1700018C11Rik,NA,NA,NA
1700018F24Rik,1700018F24Rik,69396,ENSMUSG00000029620,RIKEN cDNA 1700018F24 gene
1700018G05Rik,1700018G05Rik,NA,NA,NA
1700018L02Rik,1700018L02Rik,67329,NA,RIKEN cDNA 1700018L02 gene
1700019A02Rik,1700019A02Rik,69397,ENSMUSG00000060715,RIKEN cDNA 1700019A02 gene
1700019B03Rik,1700019B03Rik,NA,NA,NA
1700019B21Rik,1700019B21Rik,NA,NA,NA
1700019D03Rik,1700019D03Rik,67080,ENSMUSG00000043629,RIKEN cDNA 1700019D03 gene
1700019E08Rik,1700019E08Rik,69405,ENSMUSG00000086710,RIKEN cDNA 1700019E08 gene
1700019G17Rik,1700019G17Rik,NA,NA,NA
1700019G24Rik,1700019G24Rik,72249,ENSMUSG00000085416,RIKEN cDNA 1700019G24 gene
1700019L03Rik,1700019L03Rik,NA,NA,NA
1700019M22Rik,1700019M22Rik,69423,NA,RIKEN cDNA 1700019M22 gene
1700019N19Rik,1700019N19Rik,NA,NA,NA
1700019O17Rik,1700019O17Rik,NA,NA,NA
1700020A23Rik,1700020A23Rik,75656,ENSMUSG00000027409,RIKEN cDNA 1700020A23 gene
1700020D05Rik,1700020D05Rik,NA,NA,NA
1700020G17Rik,1700020G17Rik,75630,ENSMUSG00000101801,RIKEN cDNA 1700020G17 gene
1700020I14Rik,1700020I14Rik,NA,NA,NA
1700020L24Rik,1700020L24Rik,66330,ENSMUSG00000035085,RIKEN cDNA 1700020L24 gene
1700020M21Rik,1700020M21Rik,76402,ENSMUSG00000100146,RIKEN cDNA 1700020M21 gene
1700020N01Rik,1700020N01Rik,67692,ENSMUSG00000050844,RIKEN cDNA 1700020N01 gene
1700020N15Rik,1700020N15Rik,75509,ENSMUSG00000059690,RIKEN cDNA 1700020N15 gene
1700020N18Rik,1700020N18Rik,67086,NA,RIKEN cDNA 1700020N18 gene
1700021F05Rik,1700021F05Rik,NA,NA,NA
1700021F07Rik,1700021F07Rik,NA,NA,NA
1700021K19Rik,1700021K19Rik,NA,NA,NA
1700021N21Rik,1700021N21Rik,69409,ENSMUSG00000087343,RIKEN cDNA 1700021N21 gene
1700022A21Rik,1700022A21Rik,72252,ENSMUSG00000121722,glycerol-3-phosphate dehydrogenase 1-like pseudogene
1700022A22Rik,1700022A22Rik,71120,ENSMUSG00000099751,RIKEN cDNA 1700022A22 gene
1700022E09Rik,1700022E09Rik,75636,ENSMUSG00000099983,RIKEN cDNA 1700022E09 gene
1700022H16Rik,1700022H16Rik,69420,ENSMUSG00000099360,RIKEN cDNA 1700022H16 gene
1700022I11Rik,1700022I11Rik,NA,NA,NA
1700023C21Rik,1700023C21Rik,73257,NA,RIKEN cDNA 1700023C21 gene
1700023E05Rik,1700023E05Rik,NA,NA,NA
1700023F02Rik,1700023F02Rik,69433,ENSMUSG00000100000,RIKEN cDNA 1700023F02 gene
1700023F06Rik,1700023F06Rik,NA,NA,NA
