SYMBOL,ENTREZID,ENSEMBL,GENENAME
Mef2d,17261,ENSMUSG00000001419,myocyte enhancer factor 2D
Tmem79,71913,ENSMUSG00000001420,transmembrane protein 79
Snd1,56463,ENSMUSG00000001424,staphylococcal nuclease and tudor domain containing 1
Col18a1,12822,ENSMUSG00000001435,"collagen, type XVIII, alpha 1"
Slc19a1,20509,ENSMUSG00000001436,"solute carrier family 19 (folate transporter), member 1"
Kpnb1,16211,ENSMUSG00000001440,karyopherin subunit beta 1
Npepps,19155,ENSMUSG00000001441,aminopeptidase puromycin sensitive
Tbx21,57765,ENSMUSG00000001444,T-box 21
Mrpl10,107732,ENSMUSG00000001445,mitochondrial ribosomal protein L10
Cyp51,13121,ENSMUSG00000001467,"cytochrome P450, family 51"
Tcf25,66855,ENSMUSG00000001472,transcription factor 25 (basic helix-loop-helix)
Tubb6,67951,ENSMUSG00000001473,"tubulin, beta 6 class V"
Def8,23854,ENSMUSG00000001482,differentially expressed in FDCP 8
Meox1,17285,ENSMUSG00000001493,mesenchyme homeobox 1
Sost,74499,ENSMUSG00000001494,sclerostin
Nkx2-1,21869,ENSMUSG00000001496,NK2 homeobox 1
Pax9,18511,ENSMUSG00000001497,paired box 9
Irx2,16372,ENSMUSG00000001504,Iroquois homeobox 2
Col1a1,12842,ENSMUSG00000001506,"collagen, type I, alpha 1"
Itga3,16400,ENSMUSG00000001507,integrin alpha 3
Sgca,20391,ENSMUSG00000001508,"sarcoglycan, alpha (dystrophin-associated glycoprotein)"
Dlx3,13393,ENSMUSG00000001510,distal-less homeobox 3
Foxm1,14235,ENSMUSG00000001517,forkhead box M1
Itfg2,101142,ENSMUSG00000001518,integrin alpha FG-GAP repeat containing 2
Nrip2,60345,ENSMUSG00000001520,nuclear receptor interacting protein 2
Tulp3,22158,ENSMUSG00000001521,TUB like protein 3
Gtf2h4,14885,ENSMUSG00000001524,"general transcription factor II H, polypeptide 4"
Tubb5,22154,ENSMUSG00000001525,"tubulin, beta 5 class I"
Ell2,192657,ENSMUSG00000001542,elongation factor for RNA polymerase II 2
Jup,16480,ENSMUSG00000001552,junction plakoglobin
Fkbp10,14230,ENSMUSG00000001555,FK506 binding protein 10
Klhl10,66720,ENSMUSG00000001558,kelch-like 10
Nom1,433864,ENSMUSG00000001569,nucleolar protein with MIF4G domain 1
