category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Nervous system,mmu04725,Cholinergic synapse,34/1133,83/5304,0.40963855421686746,1.917672455045247,4.391426003796702,3.728000284448551e-5,4.46074516794361e-4,3.166432183524359e-4,14702/14678/16653/14700/18752/18751/14681/12322/15461/12323/14693/14704/26417/12669/12326/14688/26395/14677/18750/18747/18795/11652/432530/11438/18708/18176/14360/210044/16536/14708/12043/14696/26413/14706,34
Cellular Processes,Transport and catabolism,mmu04144,Endocytosis,69/1133,209/5304,0.33014354066985646,1.545526336904606,4.193459420212828,4.4618826278604584e-5,5.160910906225264e-4,3.663440473401219e-4,69780/12343/68089/15461/19325/77407/19345/13429/98366/216869/16572/72183/11842/72685/16573/18762/54673/17999/347722/218038/12540/20404/11844/16574/14275/11848/11845/243621/66914/216439/74325/57440/271457/234353/26385/74192/20408/30948/330319/12757/19326/75608/216724/53869/14184/12345/21812/27681/56443/109689/116733/13855/69178/13854/14183/75788/76959/213990/19334/73178/93737/16835/19344/58194/12340/18759/18719/103967/71770,69
Cellular Processes,Cell motility,mmu04810,Regulation of actin cytoskeleton,55/1133,158/5304,0.34810126582278483,1.6295932161730369,4.18706175151324,5.304008634976389e-5,5.937067730118732e-4,4.2143905622562817e-4,16653/101314/19353/242687/18718/68089/15461/18479/18645/19878/26417/12669/18643/170758/17906/19046/12631/12540/26395/104099/11848/18481/66922/19354/83767/67938/50884/19045/214230/11789/19877/224105/74192/20130/14182/11652/17532/108083/18708/14184/13800/18176/56443/16419/20315/14745/14183/69632/12928/19047/16409/26413/73178/16403/18719,55
Human Diseases,Infectious disease: viral,mmu05171,Coronavirus disease,58/1133,171/5304,0.3391812865497076,1.5878354314736531,4.072150833762164,7.755735563945708e-5,8.410125752153628e-4,5.969875401195052e-4,11837/76846/20102/67891/27207/20103/27050/18752/76808/22121/18751/67427/20091/20044/67115/19934/26961/56040/27370/19989/67186/20084/65019/20054/20085/20115/26417/19951/67248/68652/19988/267019/16179/26416/19944/27367/67281/19899/16898/18033/18750/27176/26451/225215/20116/26414/18708/66481/67097/20088/20104/26420/66480/57808/20055/26413/319195/270106,58
Organismal Systems,Endocrine system,mmu04916,Melanogenesis,27/1133,63/5304,0.42857142857142855,2.006304375236414,4.18743645274212,9.291641544992211e-5,9.684985084732911e-4,6.874826360769e-4,14678/16653/12314/14683/18752/12315/18751/14681/12322/15461/12323/26417/26395/14677/21416/18750/18747/18795/75600/432530/18176/210044/12387/26413/13618/16590/14365,27
Environmental Information Processing,Signal transduction,mmu04310,Wnt signaling pathway,42/1133,114/5304,0.3684210526315789,1.7247177962558646,4.076555377726342,9.489610745847809e-5,9.684985084732911e-4,6.874826360769e-4,12443/20317/27373/19353/18752/19055/18751/12322/13016/12323/67087/18163/19056/19878/170758/81004/12444/11848/53883/19354/21416/13017/18750/18019/18747/11789/21887/19058/26414/18795/243548/21372/12445/22059/16974/12387/26420/18099/93687/26965/14365/20187,42
Environmental Information Processing,Signal transduction,mmu04022,cGMP-PKG signaling pathway,39/1133,104/5304,0.375,1.7555163283318622,4.055220990612017,1.0775773175542556e-4,0.0010683409405466478,7.583551648351753e-4,14678/11931/12314/19055/12315/18754/22323/19056/320707/19878/11932/26417/19046/11740/98660/17260/26395/11848/14677/14886/17258/18019/19045/19877/11539/19058/18795/11652/75600/432530/22335/210044/12015/22334/19047/18576/26413/13618/11941,39
Environmental Information Processing,Signaling molecules and interaction,mmu04081,Hormone signaling,34/1133,87/5304,0.39080459770114945,1.82950360653742,4.065586074125509,1.1534364561297734e-4,0.0011076972646454528,7.862920064524068e-4,14702/14678/14700/14683/16002/20604/14681/12424/14693/17125/20502/14704/58807/14688/11848/14677/18747/13371/53945/18795/20869/432530/21833/68465/18708/22354/210044/14708/56508/11606/14696/17129/14706/20605,34
Organismal Systems,Nervous system,mmu04726,Serotonergic synapse,28/1133,67/5304,0.417910447761194,1.9563963062006824,4.1057233074072945,1.1811181208035086e-4,0.0011076972646454528,7.862920064524068e-4,14702/14678/16653/14700/14683/18752/18751/14681/15461/14693/19224/14704/26417/14688/14402/26395/14677/18750/11689/18747/14401/18795/15560/18176/14708/14696/26413/14706,28
Environmental Information Processing,Signal transduction,mmu04370,VEGF signaling pathway,21/1133,45/5304,0.4666666666666667,2.184642541924095,4.159083788099341,1.2894179799608768e-4,0.001177442208016906,8.358000202516486e-4,16653/19353/18752/19055/18751/15461/19056/26417/170758/26416/12540/26395/19354/18750/18019/19058/11652/18708/18176/12015/26413,21
Organismal Systems,Nervous system,mmu04721,Synaptic vesicle cycle,24/1133,55/5304,0.43636363636363634,2.042782636604349,4.051282453459441,1.6116562650459422e-4,0.0014207320515968575,0.0010084978009211728,20979/12890/20614/72961/12889/13429/22318/20511/76252/20910/232333/56216/74325/240332/243616/20512/12757/20510/19339/140919/66237/21871/103967/71770,24
Cellular Processes,Cellular community - eukaryotes,mmu04530,Tight junction,43/1133,120/5304,0.35833333333333334,1.6774933804060017,3.912180250694944,1.6377314715813917e-4,0.0014207320515968575,0.0010084978009211728,12443/22142/19353/68089/18754/22323/19079/269643/19878/100042785/16456/23859/17906/72930/18762/22143/17999/12540/11848/21872/67938/19052/18747/12738/19877/15163/109905/74192/26414/20869/22376/18417/104027/56443/72065/52432/26420/26400/68178/83964/19053/93737/18759,43
Organismal Systems,Digestive system,mmu04971,Gastric acid secretion,22/1133,49/5304,0.4489795918367347,2.1018426788191005,4.038191810930602,1.815314168714336e-4,0.0015363756501070112,0.0010905866892917963,14678/11931/12314/14683/20604/18752/12315/18751/12322/12323/11932/98660/14677/18750/18747/15466/246133/18795/75600/432530/12349/210044,22
Cellular Processes,Cellular community - eukaryotes,mmu04520,Adherens junction,28/1133,69/5304,0.4057971014492754,1.8996891668905176,3.920255448829565,2.1615757140582307e-4,0.0017858732685195385,0.001267691020274752,19353/215449/242687/19878/26417/170758/17906/19268/12540/11848/19354/21872/83767/21416/67938/19877/109905/14182/21812/22376/14360/12387/75788/20411/18099/26413/73178/22612,28
Organismal Systems,Immune system,mmu04062,Chemokine signaling pathway,48/1133,141/5304,0.3404255319148936,1.5936602129537474,3.7235064536061007,2.874274623827983e-4,0.0023194727778332795,0.0016464633096101545,14702/14678/140580/16653/14700/19353/215449/18751/15461/14784/18479/14693/216869/14704/19878/26417/170758/18762/14688/12540/26395/11848/14677/19354/18033/18747/19877/26385/109905/20312/18795/11652/432530/18708/277360/22376/606496/18176/210044/13051/109689/14708/20315/12015/12928/14696/26413/14706,48
Organismal Systems,Excretory system,mmu04961,Endocrine and other factor-regulated calcium reabsorption,18/1133,38/5304,0.47368421052631576,2.217494309471826,3.925310215226593,3.086295208034016e-4,0.0024339646299722808,0.0017277346379903343,11931/14683/18752/18751/13429/320707/11932/98660/18750/18747/74325/16591/18795/12757/53869/11941/103967/71770,18
