category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,mmu04934,Cushing syndrome,23/619,155/7649,0.14838709677419354,1.8336234300901557,3.1111469077156424,0.0031494274839568037,0.016494459195638175,0.012249334371143322,216795/15370/11911/231991/21416/12443/14367/22411/22421/22419/12579/14678/109305/22417/21415/16527/12571/12575/12447/208647/12006/14370/18797,23
Human Diseases,Cancer: overview,mmu05203,Viral carcinogenesis,28/619,204/7649,0.13725490196078433,1.6960625930501443,2.9900099211890527,0.0038040868325936368,0.01959104718785723,0.014548963675533554,16476/11911/231991/12443/12445/19697/20848/17000/18034/17164/19303/18035/12774/14972/20807/12579/58801/13654/15015/16391/14964/19696/12571/12575/12447/208647/19664/326620,28
Human Diseases,Infectious disease: bacterial,mmu05132,Salmonella infection,32/619,243/7649,0.13168724279835392,1.6272628758717433,2.9485090794189195,0.003950964725064683,0.020013903279426017,0.014862990682728228,12475/16476/21416/21937/16176/67951/17869/19697/11845/226421/12306/21926/72318/24088/26397/18035/11867/14281/19766/170625/19264/21415/16193/17874/170760/12363/434782/80837/216799/117149/235406/27205,32
Human Diseases,Immune disease,mmu05332,Graft-versus-host disease,9/619,41/7649,0.21951219512195122,2.712518223728279,3.262371990451708,0.004681504655963479,0.02333201514020508,0.017327130984720517,16176/14102/21926/12524/14972/16175/15015/14964/16193,9
Environmental Information Processing,Signal transduction,mmu04350,TGF-beta signaling pathway,17/619,107/7649,0.1588785046728972,1.9632660456268023,2.9773951627797204,0.00521100942789501,0.025558760527294576,0.018980786220235794,434215/17131/21825/18121/17125/21803/17869/12156/21815/21926/15901/12579/224109/68010/21809/73699/15902,17
Organismal Systems,Immune system,mmu04659,Th17 cell differentiation,16/619,99/7649,0.16161616161616163,1.997095347660776,2.9629369706421427,0.00559356447499464,0.027006428480833494,0.020055872624158408,16476/16190/18019/19401/16176/12394/21803/19697/20848/18018/18035/60505/14281/16177/16193/16452,16
Human Diseases,Cancer: specific types,mmu05222,Small cell lung cancer,15/619,92/7649,0.16304347826086957,2.014732738638758,2.905443781797432,0.006614174172958356,0.031442766452986645,0.023350444853521,17873/23882/12443/17869/19697/13197/18035/12579/14268/12827/16400/12571/12575/12447/12826,15
Human Diseases,Cancer: specific types,mmu05220,Chronic myeloid leukemia,13/619,76/7649,0.17105263157894737,2.1137020661508377,2.8952324966388607,0.0074108960117192325,0.03469646769123095,0.025766751683489516,17873/23882/12443/12394/21803/17869/19697/13197/18035/110279/12571/21809/12575,13
Human Diseases,Cancer: overview,mmu05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,14/619,85/7649,0.16470588235294117,2.0352751116601726,2.847941590612902,0.007814458729579364,0.0360398171259705,0.02676436768339829,16476/18019/19697/20848/18018/24088/26397/18035/14281/381319/17874/18566/117149/16452,14
Human Diseases,Cancer: specific types,mmu05225,Hepatocellular carcinoma,23/619,167/7649,0.1377245508982036,1.7018660578681086,2.7211045328690067,0.00794797778655189,0.03611654611830197,0.026821349186815974,17873/23882/15368/216795/21416/12443/14388/21803/14367/22411/17869/13197/22421/22419/18024/22417/21415/12571/21809/12575/12006/15234/14370,23
Organismal Systems,Immune system,mmu04062,Chemokine signaling pathway,24/619,177/7649,0.13559322033898305,1.6755291476137015,2.6980742419602066,0.008220931872706675,0.03681547751690381,0.02734039890541655,20308/20303/20302/20305/14825/56221/20293/19697/20848/20306/15945/20292/19303/18035/12774/12927/14678/12768/20296/18797/22324/14707/20310/16452,24
Organismal Systems,Immune system,mmu04640,Hematopoietic cell lineage,14/619,86/7649,0.16279069767441862,2.0116091219897063,2.7993455694460323,0.008662706973082149,0.03823966363831977,0.028398046919276818,12475/16190/12977/16402/16176/12505/21926/16175/16177/16400/16156/16193/12491/12490,14
Human Diseases,Cancer: overview,mmu05207,Chemical carcinogenesis - receptor activation,24/619,178/7649,0.1348314606741573,1.6661160625147484,2.6681616692253427,0.008801961767845895,0.03830712938400537,0.028448149227433727,16476/11911/231991/16600/13685/12443/12445/17869/19697/20848/13078/14281/13388/11554/12224/13983/54485/14678/22337/208647/14172/14173/11438/16452,24
Organismal Systems,Immune system,mmu04612,Antigen processing and presentation,12/619,71/7649,0.16901408450704225,2.0885116839973605,2.734176653288898,0.01086722583586716,0.046638510878929895,0.03463531041255907,193740/15511/16149/21926/19141/14828/14972/15015/14964/13039/13030/18044,12
