ID,logFC
Fam171b,-0.9844534897632924
Kalrn,-0.9799694140902772
Ago1,-0.978673518132408
Ppm1l,-0.9723189030549084
Ids,-0.9709222705410142
Ank2,-0.970559666797338
Kcnab2,-0.9524374921673112
Ppp1r9a,-0.94698224813016
Idi1,0.9459515241000712
Cbx6,-0.929302279722076
Ppan,0.9213167178487554
Stxbp5,-0.9190933946268796
Nsmf,-0.9130483432527922
Ppp3ca,-0.9076849568762254
Man1a2,-0.9003144292223306
Akap11,-0.8996042269957768
Arrb1,-0.8933617309148411
Synj1,-0.8927803408341995
Gpr137b,0.8894363723108369
Aak1,-0.8884054370417372
Hspe1,0.8851046008286959
Spry1,0.8828560344849679
Socs1,0.8780681080314006
Rgs7bp,-0.8676101487369837
Pfkfb3,0.8583007083364139
Myo1c,0.8509316406645556
Nav3,-0.835085977628547
Zbtb2,0.8329183018350864
Cdk14,-0.8187126235043847
Tcf4,-0.7962223078384654
Arf3,-0.7794526027936991
Purb,-0.7719551733701138
Pum2,-0.7671493271200625
Dicer1,-0.7548935013542101
Fbxw7,-0.7522927522763874
Usp34,-0.748998978758993
Rdh10,0.7460305783981823
Spsb1,0.7439297030901086
Magee1,-0.7369359965186533
Sox5,-0.7300955598734014
Zfp36l2,0.7192642384070707
Atrx,-0.7085719605695908
Wsb1,0.7044172693417428
Madd,-0.6937005820514704
Nucks1,-0.6913371754610044
Cnksr3,0.6837057214987582
Serpinh1,0.6836234772575346
Ncor1,-0.675236440556071
Secisbp2l,-0.6737032310120797
1110038b12rik,0.6649586015370615
Bmp2k,0.6610212052842025
Scamp5,-0.6476865017337363
Nsd1,-0.6451401484771855
Map4,-0.6134610185977757
Megf9,-0.606229312390267
Wdr7,-0.5746834772157623
Ttc3,-0.5641919063795242
Csrp1,0.5620749152592538
Tmem86a,-0.5488680080535259
Cebpa,0.5232476059766838
Cdc42ep1,0.5009047484861887
Txnip,0.4987741514438736
Usp9x,-0.4830140652707176
Tob2,0.4686375418932528
Tug1,-0.4650421540820376
Gab1,0.4597524787923248
Plxna1,-0.4432058400195861
Hsp90aa1,0.4390943427838262
Tgfb1,0.3899627970313868
Elmo2,-0.3824720292198256
Gnptab,0.3710966270264325
Cited2,0.3341054380403567
Efnb1,0.3101355528444023
Gramd1b,-0.1009957195322143
Atp6v1b2,0.0470667932730914
Cpd,0.0454989993244773
Sel1l,-0.03882675099663
Hspa1b,5.084183956813199
Hcar2,4.91040576031118
Npas4,4.088126622063603
Ch25h,3.859691891346953
Lilrb4a,3.77320654510625
Fam83g,3.694388479467962
Lilr4b,3.650295408507109
Ccl24,3.579656523001064
Lgals3,3.334072764026065
Zbtb42,3.289057719672876
Bdkrb2,3.2335061189413827
Pdcd1,3.1835811502640623
Clec7a,3.166082060644069
Stx11,3.1524945748970805
Prkag3,3.1224208796293613
Bcl3,3.013436157624163
Neat1,2.9513142289069445
Gm6377,2.912836890341422
Lcn2,2.825797780128869
Apold1,2.7834634081772567
Rai14,2.750106665955434
Ccl6,2.6731947695372944
Lrrc32,2.593359069853216
Hgf,2.582700087534598
Bcl2a1a,2.5773463740843665
Osgin1,2.563987597597134
Sowahb,2.4937636945937918
Icam1,2.4788237250821066
Syn2,-2.4543352894479677
D430019h16rik,-2.421518511482762
Timp1,2.406281154937068
Slfn2,2.401619498464041
Grin1,-2.374393873059112
Amotl2,2.348248659821456
Hs3st3b1,2.3236594179314407
B3gnt5,2.30952195214514
Ifit3,2.2810080276268963
Apln,2.23246399387869
Nrxn1,-2.2160235389026166
Slc16a2,-2.197937268110145
Arc,2.1830638666236326
Cntn1,-2.15606359465392
Amph,-2.130066332493913
Rln1,2.126674233346826
Pdpn,2.11627559505361
Runx1,2.113151788412833
Zc3h12a,2.110366392062317
Cck,-2.096491969214705
Fxyd5,2.0814772725554547
Gria1,-2.047280056059156
Nfkbid,2.033809638459871
Upp1,2.0207690699600707
Nuak2,2.017914188413198
Dusp10,2.012866091947925
Crip1,2.010824093815314
Wnt9a,2.0078899610588645
Nell2,-1.997455733813348
Sfrp4,1.9692087312804023
Flt1,1.9552884108166604
Ppp2r2c,-1.950085886550736
Cd86,1.9234872758659496
Lingo1,-1.923311984665788
Map1a,-1.9211361724632945
Chl1,-1.9197764146322207
Tgfbi,1.9009577890264568
Tent5c,1.8509669468200736
Pcsk2,-1.8415505648916677
Dpysl3,-1.763940040905662
Kcnq2,-1.7618997950400237
Shank2,-1.759045191177002
Chd5,-1.7586633031065415
Gabra5,-1.7557904502866173
Grin2a,-1.7431810008974171
Otud1,1.742532319983548
Bmp2,1.7399400698196328
Rrad,1.736984534240124
Spock1,-1.731995951998081
Sez6l,-1.7246385962270037
Masp1,1.7154607554967012
Egln3,1.7101981629805516
Homer2,-1.6931458440044012
Slc6a17,-1.6885099943385835
Lrrn2,-1.6879429693493313
Erc2,-1.6832619281627654
Kcna2,-1.675292196684363
Sprn,-1.6718261911382244
Camk4,-1.671014759844627
Kcnc1,-1.6649764351989071
Akap12,1.6627909331424684
Pcdh7,-1.6613193068207397
Mapkapk3,1.6540344968544558
Ier5l,1.647506130846648
Snap91,-1.6415492687382116
Lmna,1.639032849847906
Id2,1.637626414604832
Sowaha,-1.6363592965159828
Clic4,1.62502974534992
Tmem252,1.614353609708857
Ptges,1.6086000607766195
Rassf1,1.5837584342511617
Akap6,-1.579508653344847
Gpr22,-1.575921114336923
Chn1,-1.5700124942465516
