"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_3156714",-0.100443508333333,0.942603642857143,-1.50044574336043,0.153418026619108,0.486996336333931,-5.36667876233871
"ILMN_2935933",-0.0889516091666665,0.949170565714286,-1.50039151601662,0.15343193569819,0.486996336333931,-5.36675235107695
"ILMN_2744138",0.0933932750000001,1.05336758571429,1.50036602978222,0.153438473170645,0.486996336333931,-5.36678693626524
"ILMN_2816461",-0.0851221474999999,0.951358822857143,-1.50016567211073,0.153489875003867,0.486996336333931,-5.36705880934846
"ILMN_2658786",-0.0819515266666665,0.953170522857143,-1.50007837505608,0.153512275589829,0.486996336333931,-5.3671772576824
"ILMN_1217241",-0.0874035574999998,0.95005516,-1.50005109496615,0.153519276270999,0.486996336333931,-5.36721427141347
"ILMN_1245112",-0.0903483749999999,0.948372407142857,-1.50003661045538,0.153522993428695,0.486996336333931,-5.36723392385061
"ILMN_1254639",-0.0980603066666665,0.943965525714286,-1.49992610017527,0.153551356137317,0.486996336333931,-5.36738385844427
"ILMN_2662602",-0.0961151499999998,0.945077057142857,-1.49991430234737,0.153554384334376,0.486996336333931,-5.36739986463893
"ILMN_2641132",0.114927773333334,1.06567289,1.49988076595039,0.153562992531678,0.486996336333931,-5.36744536319066
"ILMN_1220357",-0.0904342941666664,0.948323337142857,-1.49987726477408,0.153563891244653,0.486996336333931,-5.36745011316403
"ILMN_3121851",0.0831722033333335,1.04752702,1.49942371096129,0.15368035058091,0.4872705007971,-5.3680653706994
"ILMN_2955104",0.0915902800000001,1.05233737285714,1.49939288888409,0.153688267461591,0.4872705007971,-5.36810717664041
"ILMN_3142235",-0.105535195833333,0.939694207142857,-1.49931561577613,0.153708117132645,0.487273314329828,-5.36821198426267
"ILMN_2702633",0.104805695,1.05988894857143,1.4991540866622,0.153749617129813,0.487344752853683,-5.36843105766119
"ILMN_2747331",-0.0941140458333332,0.946220478571429,-1.49906610556692,0.153772225131681,0.487356298619735,-5.36855037440478
"ILMN_2716346",-0.0952862516666666,0.94555075,-1.49880632041286,0.153838996834843,0.487469659992816,-5.36890265521508
"ILMN_1220360",-0.118482348333333,0.932295734285714,-1.4985778684131,0.15389773507321,0.487469659992816,-5.36921240937382
"ILMN_2692960",0.0927688416666667,1.0530108,1.49856078331108,0.1539021286464,0.487469659992816,-5.36923557336351
"ILMN_2677397",-0.0893572599999998,0.948938708571428,-1.49849288253643,0.153919590918323,0.487469659992816,-5.36932763133025
"ILMN_2629354",0.0814769300000003,1.04655816571429,1.49845395026137,0.153929604008849,0.487469659992816,-5.36938041322134
"ILMN_1219242",-0.0841646349999998,0.951905842857143,-1.49838733139627,0.153946739144325,0.487469659992816,-5.36947072846209
"ILMN_2791326",0.0810268250000002,1.04630099285714,1.49828930204271,0.153971956311224,0.487469659992816,-5.3696036215057
"ILMN_2757916",-0.110612541666667,0.9367928,-1.49825392942074,0.153981056445233,0.487469659992816,-5.36965157265448
"ILMN_2957589",-0.0840340549999998,0.95198052,-1.49822177118008,0.15398933002117,0.487469659992816,-5.36969516565691
"ILMN_2846636",-0.0902367033333331,0.948436222857143,-1.49817121803597,0.154002336932619,0.487469659992816,-5.36976369298148
"ILMN_2790113",0.0917718083333335,1.05244105,1.49811554490233,0.154016662236124,0.487469659992816,-5.36983915872355
"ILMN_2445021",-0.0834432483333333,0.952318187142857,-1.49803982720277,0.154036147008851,0.487471289370252,-5.36994179182623
"ILMN_2737794",-0.111604859166666,0.936225861428572,-1.49789954208358,0.154072252637828,0.487525511148167,-5.37013193398352
"ILMN_2944621",0.0895622333333335,1.05117828571429,1.49777698854485,0.154103800411141,0.487565299084597,-5.37029803197844
"ILMN_2778751",-0.0814354474999997,0.953465458571429,-1.49763886239681,0.154139363350062,0.487617779146442,-5.37048522359083
"ILMN_2452957",-0.0912791716666667,0.94784042,-1.49747749592677,0.154180918578008,0.487632792506396,-5.37070389477291
"ILMN_2757923",-0.0807865033333332,0.953836317142857,-1.49747305754896,0.154182061684806,0.487632792506396,-5.37070990906722
"ILMN_1217063",0.0972830866666667,1.05559034857143,1.49715961517949,0.154262806830617,0.487828125415502,-5.37113461066171
"ILMN_2838199",-0.101652394166667,0.941912984285714,-1.49697249630806,0.154311026890619,0.487920568230374,-5.37138811762038
"ILMN_2962584",-0.0937745091666666,0.946414512857143,-1.49673082910841,0.154373322519535,0.487928227250183,-5.37171549135065
"ILMN_2622404",-0.0928665091666666,0.94693339,-1.49670668906046,0.154379546359138,0.487928227250183,-5.37174819043674
"ILMN_2747728",-0.0830979849999998,0.952515337142857,-1.49662261645268,0.154401223775133,0.487928227250183,-5.37186206857213
"ILMN_2673776",-0.0867290491666666,0.95044059,-1.49649543370014,0.154434021604859,0.487928227250183,-5.37203433128765
"ILMN_2786509",-0.107198783333333,0.938743585714286,-1.49641632012015,0.154454426309583,0.487928227250183,-5.37214148121445
"ILMN_1248018",-0.0825956524999999,0.952802464285714,-1.49641336849813,0.154455187625371,0.487928227250183,-5.37214547875373
"ILMN_2787448",-0.0819287899999999,0.953183668571429,-1.4964040091632,0.154457601711758,0.487928227250183,-5.37215815456197
