comparison,SYMBOL,ENTREZID,ENSEMBL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,significant
WT_6h_ipsilateral_vs_contralateral,Ccl2,20296,ENSMUSG00000035385,C-C motif chemokine ligand 2,6.1910750043130305,4.571065526740217,5.957445904476374,0.001886563402851705,0.026599304628925784,-0.845731652162816,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Meox1,17285,ENSMUSG00000001493,mesenchyme homeobox 1,1.1986148352410213,6.20051722846254,4.471310747713905,0.0018867295763727381,0.026599304628925784,-1.3336563510767867,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Ephb3,13845,ENSMUSG00000005958,Eph receptor B3,0.7430568556590753,9.38505131106189,4.470144447519654,0.0018897336262434982,0.02662480488587851,-1.3353203237135496,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Myo19,66196,ENSMUSG00000020527,myosin XIX,0.9664238101229357,7.25909237643569,4.468500326815708,0.00189397717172101,0.026667725347715235,-1.3376663436828053,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Ptpn2,19255,ENSMUSG00000024539,"protein tyrosine phosphatase, non-receptor type 2",0.7861125589033904,8.458589316033187,4.46788675362219,0.0018955634638567816,0.02667209375610616,-1.3385419609477847,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Igip,109169,ENSMUSG00000110185,IgA inducing protein,-0.6910716940604988,10.284290160327474,-4.467454354024043,0.0018966822226564382,0.02667209375610616,-1.3391590620886493,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Nxpe3,385658,ENSMUSG00000075033,"neurexophilin and PC-esterase domain family, member 3",-0.7489306210280393,8.169520618980846,-4.466110344281686,0.0019001641653624219,0.0267041998633741,-1.341077345442871,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Ccne1,12447,ENSMUSG00000002068,cyclin E1,0.8927624528553677,7.283050909270949,4.464928822808942,0.0019032308445701138,0.026730433204791477,-1.3427639286934294,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Casp4,12363,ENSMUSG00000033538,"caspase 4, apoptosis-related cysteine peptidase",2.151411812647457,3.5035083231129587,4.461845086896767,0.0019112599707585202,0.026804939571897606,-1.3471668161133667,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Slc45a2,22293,ENSMUSG00000022243,"solute carrier family 45, member 2",-2.041114179079935,3.622187885234802,-4.461568365507388,0.0019119822552829961,0.026804939571897606,-1.3475619800930891,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Hspa12a,73442,ENSMUSG00000025092,heat shock protein 12A,-0.5324013130159102,12.59521876003264,-4.461505701882793,0.0019121458576765564,0.026804939571897606,-1.3476514666145967,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Zfp354c,30944,ENSMUSG00000044807,zinc finger protein 354C,-0.5794352398468003,10.511589559490087,-4.459687278710625,0.0019168999870794604,0.026847143729898573,-1.3502485063903809,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,0610030E20Rik,68364,ENSMUSG00000058706,RIKEN cDNA 0610030E20 gene,-0.8060983984178867,7.8953644181993425,-4.4593728562873345,0.0019177233129873013,0.026847143729898573,-1.3506976076087067,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,A330023F24Rik,320977,ENSMUSG00000096929,RIKEN cDNA A330023F24 gene,-1.225324557325525,6.0713192968621,-4.458972469188419,0.001918772292614973,0.026847143729898573,-1.3512695161376378,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Mxra7,67622,ENSMUSG00000020814,matrix-remodelling associated 7,0.7887561803690533,7.856405674770684,4.4567076723668055,0.0019247175304052393,0.02691342309464953,-1.3545049650773437,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Spring1,76792,ENSMUSG00000032840,SREBF pathway regulator in golgi 1,0.6476996986934385,10.671499665893728,4.454488170106866,0.0019305631516578817,0.026978227229096183,-1.3576764291780155,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Gm23969,115489598,ENSMUSG00000065258,"predicted gene, 23969",2.9706526318081035,2.259238000507862,4.453871991729172,0.0019321894079874892,0.02698402449085976,-1.3585570180246593,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Itpripl1,73338,ENSMUSG00000074825,"inositol 1,4,5-triphosphate receptor interacting protein-like 1",1.0482770350687725,6.364516254244197,4.452812968329606,0.001934987902064363,0.02700617513689454,-1.3600706113527394,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Tmem208,66320,ENSMUSG00000014856,transmembrane protein 208,0.657499066353358,8.493123662680233,4.45068760137619,0.0019406174353392414,0.027067785455342268,-1.3631087510403148,Up,TRUE
