gene_symbol,mean_log2FC
Cox5b,0.6072887259086551
Cox6a1,0.6143382982969535
Cox6a2,1.0301707330268002
Cox6b1,0.6066724415572706
Cox6c,0.5532568172096609
Cox7a1,1.5434186603375908
Cox7b,0.660323859456051
Cox7c,0.8262895540558297
Cox7c-ps1,-1.9924527069964284
Cox8a,1.0319436809396318
Cpn2,3.638096597582507
Cpsf4,0.5443402030078044
Cpsf6,-0.6297189114717813
Cracdl,0.6952202995662566
Cracr2b,0.8513652679325143
Creb3l1,5.446852282270479
Crem,-0.5041949921654919
Crip1,0.871253678535656
Crispld1,0.5081542137231845
Crybb1,0.5726610905627212
Crym,0.5126596378057574
Csl,-1.2593801434548102
Csrnp1,0.8804935050556976
Cst6,0.7008854051711148
Cstb,0.7029777636412222
Ctbp1,2.2943304560232947
Ctcf,1.2277067175041023
Ctf1,10.530920676811945
Ctla2a,0.904074722210389
Ctnna3,0.7698105641170598
Ctnnd2,0.5214660792
Cuedc2,0.514291528591575
Cxcl2,2.4591768463347976
Cycs,0.5185082046473033
Cyfip2,0.5304284337
Cyp4v3,0.7045450618319077
Cyp51,0.5472369123441241
Cyrib,1.5558204184941942
Cysltr2,-1.5789526674270689
D330023k18rik,0.7355680732469332
D330050i16rik,0.30502022021326664
D830031n03rik,1.4433481314122505
D8ertd738e,0.7049559082890395
Dach2,-0.6491280119335421
Dancr,0.5127634396052294
Dapk3,5.598942802183799
Daw1,0.9384987114635944
Dbf4,2.4821565955138563
Dbi,1.0110484191575964
Dbp,0.7434838762003309
Dcaf10,2.0167028219829914
Dcph1,-1.9083080722361183
Dctpp1,0.5449172587032451
Ddc,0.5352494129941113
Ddit4,0.5944395746682679
Ddrgk1,0.62791185963246
Ddx3x,0.6177137564249999
Ddx58,-0.5379735884167715
Ddx60,-0.02574796420128911
Depdc7,-0.6443244529921308
Dgcr6,0.5114667959469364
Dgki,0.5313165475406616
Dhrs13os,-0.5738506265122825
Diaph3,-0.5482113944684791
Diras2,-0.5144964887449586
Dis3l,-1.2519154919027151
Dixdc1,0.5290198778
Dlgap3,-0.5197200110003378
Dmp1,0.71006476528885
Dnah5,-0.5345861013371713
Dnah7a,0.858691098386464
Dnah7b,-0.6292248524440681
Dnajc17,0.5682395047529716
Dnttip1,0.5358831317629112
Doc2b,-0.5693466218340449
Dock5,11.214834637254407
Dock6,-2.593073656540553
Dok6,0.5197784816626572
Dpf2,-0.5878102781192655
Dpm3,0.9578567383486882
Dr1,-0.5816439899445852
Dram2,-0.5554834397314793
Drap1,0.7595565404566316
Drd2,-0.5859190724701955
Dsg2,-0.6569244985216506
Dst,0.6516851595
Dtd1,0.5530254441824808
Dtx1,2.4628266878840614
Dusp14,0.5541066423439549
Dusp4,-0.712007806465745
Dusp9,1.6115727397823645
Duxbl1,0.6967979915615948
Dynll2,0.5787799819697637
E030003e18rik,0.7188756626029056
E130102h24rik,0.8333446400206812
E2f7,1.8742226180631
E430024i08rik,-0.8490158881118612
E530011l22rik,0.5217164680664994
Eaf2,1.0919729855755278
Echdc2,8.579649842468049
Ecm2,-0.6360773841410122
Ect2l,-0.9688885556816244
Edf1,0.8265234045788359
Edn3,0.8076240485033346
Ednrb,-0.56975733585
Eef2,-0.530732833899999
Efcab10,0.7917165982779747
Efemp1,-0.606518295399299
Efhd2,2.4775855058637695
