group,accession,region,treatment,gse,kind,symbol,symbol_key,log2FC,padj,direction
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Pnpla2,PNPLA2,0.3666238795506428,1.4712573388170522e-08,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Bcl2l1,BCL2L1,0.2550167780693487,2.2839332827516345e-08,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Ankrd28,ANKRD28,-0.2680656126065111,3.324938887503321e-08,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Arc,ARC,-0.4508128890777099,6.059212475156678e-08,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Gab1,GAB1,-0.4276889975595983,1.3896357967012684e-07,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Hspa1b,HSPA1B,-1.3358794505357152,1.887188338308157e-07,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Adamts4,ADAMTS4,-0.4887016025162204,2.962326747297524e-07,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Ddit4,DDIT4,0.6689391346587851,3.5244726347117815e-07,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Nipal4,NIPAL4,-0.5530161057382266,4.205055516847253e-07,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Trib2,TRIB2,-0.3426028178415749,4.40531426174184e-07,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Dlc1,DLC1,-0.2729444301223726,4.537199733388384e-07,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Dip2a,DIP2A,-0.2951603646650403,7.160675484209079e-07,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Mxd4,MXD4,0.3166912550637242,7.245014053416167e-07,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Mt1,MT1,0.5203826027621455,7.974379113642013e-07,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Bmp2k,BMP2K,-0.3645314085832632,8.524534217755096e-07,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Usp31,USP31,-0.3271674842036888,1.2300227960230098e-06,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Pla2g3,PLA2G3,0.7912921670285753,1.6514128447307787e-06,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Slc16a1,SLC16A1,-0.304425327365476,1.6514128447307787e-06,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Dclre1b,DCLRE1B,0.464844271264584,1.6994815695487212e-06,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Angptl4,ANGPTL4,0.8889478326289029,1.8869992485246936e-06,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Sgk3,SGK3,0.5694055114719483,1.929789847482484e-06,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Egln2,EGLN2,0.2034897144532077,2.1727874383506112e-06,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Nkx2-2,NKX2-2,-0.6023198378890391,2.3631498150114136e-06,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Zfp36l2,ZFP36L2,-0.4061476196334423,2.3631498150114136e-06,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Tjp1,TJP1,-0.2643146102563419,2.3631498150114136e-06,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Klf3,KLF3,-0.3500818595032802,2.3713295994986817e-06,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Sult1a1,SULT1A1,0.6266703146433322,3.0669390564935034e-06,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Tgfa,TGFA,-0.3282583837029239,4.744543324798596e-06,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Slc35a5,SLC35A5,-0.2522406189234862,4.744543324798596e-06,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Kat2b,KAT2B,-0.2964307070250123,9.672379379331752e-06,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Slc2a1,SLC2A1,0.3857101820883283,1.077394622852162e-05,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Mbnl1,MBNL1,-0.2967308671333805,1.133425578397698e-05,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Rps8,RPS8,0.2640532331029825,1.133425578397698e-05,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Plekhh1,PLEKHH1,-0.4183669486549345,1.154454018601444e-05,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Mtmr10,MTMR10,-0.2796825544920319,1.3861376526316956e-05,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Efcab14,EFCAB14,-0.3324941848800843,1.4167610380962437e-05,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Fmo2,FMO2,0.7364897508428091,1.4563705863375152e-05,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Lrrc8b,LRRC8B,-0.3992841856653334,1.4563705863375152e-05,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Lsm7,LSM7,0.3006475906936259,1.4563705863375152e-05,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Spry2,SPRY2,-0.2612132396127254,1.569615286117622e-05,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Adam10,ADAM10,-0.2962313450078674,1.663258416473109e-05,DOWN
