gene_symbol,n_groups,predominant_direction,n_up,n_down,mean_log2FC,groups
Rpp25l,3,UP,3,0,0.44561109378097036,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Btg2,3,UP,3,0,0.4416232772995648,Acc3_brainstem_GLP_1;Acc5_nts_IP118_PY115;Acc8_hippocampus_ST_A_Ex_KD
Pam16,3,UP,3,0,0.44144133490495174,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Ndufb7,3,UP,3,0,0.43976696377323066,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Cfap298,3,UP,3,0,0.43917318951613876,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Tenm3,3,UP,3,0,0.43763811137778214,Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc3_hypothalamus_conjugate_2
Upf3a,3,UP,3,0,0.4367096586837649,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Nenf,3,UP,3,0,0.4358096918874776,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
2610306m01rik,3,UP,3,0,0.4355852090475194,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Polr2f,3,UP,3,0,0.4320868424478035,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Cenpx,3,UP,3,0,0.4315440146173544,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Rpl8,3,UP,3,0,0.431366934920047,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Cpsf4,3,UP,3,0,0.430968487078091,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Atp10a,3,UP,3,0,0.429983195141119,Acc3_brainstem_GLP_1;Acc3_hypothalamus_GLP_1_MK_801;Acc5_pvn_IP118_PY115
Mrps12,3,UP,3,0,0.42797508380034116,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Lrrn2,3,UP,3,0,0.4251886622721149,Acc11_hippocampus_Ex4;Acc11_hippocampus_Ex4_mTBI;Acc3_hypothalamus_GLP_1_MK_801
Rex1bd,3,UP,3,0,0.42492794139573525,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Pfdn2,3,UP,3,0,0.42297443623343584,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Hes6,3,UP,3,0,0.4216338808492038,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Selenom,3,UP,3,0,0.4212546462247726,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Pmvk,3,UP,3,0,0.4203907587072802,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Bloc1s1,3,UP,2,1,0.4195437837422529,Acc3_brainstem_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Eif3g,3,UP,3,0,0.41920066183708765,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Cdpf1,3,UP,3,0,0.4173738180007913,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Cox6c,3,UP,3,0,0.4170592241674375,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Alkbh7,3,UP,3,0,0.4158978753286388,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Tmem219,3,UP,3,0,0.41403705856317297,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Coprs,3,UP,2,1,0.41000550296077715,Acc3_brainstem_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Nrgn,3,UP,3,0,0.40917334199919875,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Mcee,3,UP,3,0,0.408388456256169,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Hpca,3,UP,3,0,0.4072173271257493,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Safb2,3,UP,3,0,0.4057511803802085,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Matk,3,UP,3,0,0.4053505017444452,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Lin7b,3,UP,3,0,0.4039951773410803,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Pgf,3,UP,3,0,0.4029079449743656,Acc3_brainstem_GLP_1;Acc5_pvn_IP118_PY115;Acc8_hippocampus_ST_A_Ex
Zmat2,3,UP,3,0,0.4019228425581259,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Ppp1r11,3,UP,3,0,0.40139862790784786,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Cstb,3,UP,2,1,0.4009693660119343,Acc3_brainstem_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Ylpm1,3,UP,3,0,0.4005854526445201,Acc11_hippocampus_Ex4;Acc11_hippocampus_Ex4_mTBI;Acc3_brainstem_GLP_1_MK_801
Emilin2,3,UP,3,0,0.4002144827078867,Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex
Polr3d,3,UP,3,0,0.3997731550562695,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Nme2,3,UP,2,1,0.39939338723508827,Acc3_brainstem_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Gtf2h5,3,UP,3,0,0.39773058124982485,Acc8_frontalcortex_ST_A_Ex;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Gar1,3,UP,2,1,0.39673213242954425,Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD;Acc8_hypothalamus_LT_A_Ex
Ai413582,3,UP,3,0,0.39633668912002523,Acc8_frontalcortex_YA_Ex;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Rp9,3,UP,3,0,0.39610626999447063,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Ccno,3,UP,3,0,0.39601584092871184,Acc10_hippocampus_Ex4_Pre_TBI;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Ndufs4,3,UP,3,0,0.39583224232591413,Acc11_hippocampus_Ex4_mTBI;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Pigyl,3,UP,3,0,0.3952330666085801,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Dgcr6,3,UP,3,0,0.3942611542177721,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Arhgef37,3,UP,3,0,0.39398430311516525,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Erich3,3,UP,3,0,0.39359825135541415,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Prkrip1,3,UP,3,0,0.3930363357112046,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Resp18,3,UP,3,0,0.3922549132291376,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Nudc,3,UP,3,0,0.39172838307209973,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Hdgfl2,3,UP,3,0,0.39052587668445343,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Ctnna3,3,UP,2,1,0.38764263006839456,Acc3_brainstem_GLP_1;Acc3_hypothalamus_conjugate_2;Acc8_hippocampus_ST_A_Ex
Prxl2b,3,UP,3,0,0.3864232794959257,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Ccdc107,3,UP,3,0,0.385035647912465,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Zfas1,3,UP,2,1,0.38464295948342664,Acc3_brainstem_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Pde6d,3,UP,3,0,0.38375872184799503,Acc11_hippocampus_Ex4;Acc11_hippocampus_Ex4_mTBI;Acc8_hippocampus_ST_A_Ex
