gene_symbol,group,log2FC,padj,direction
Fosl2,Acc3_hypothalamus_conjugate_2,-0.5536401786736906,0.0085624566218937,DOWN
Gm10010,Acc3_hypothalamus_conjugate_2,0.7945206406017425,0.0140063304134501,UP
Map3k6,Acc3_hypothalamus_conjugate_2,0.7157996599899462,0.0153219295664636,UP
Hif3a,Acc3_hypothalamus_conjugate_2,0.7064306087823286,0.0205439501721671,UP
Gm50152,Acc3_hypothalamus_conjugate_2,-0.554064226954612,0.0222459497510059,DOWN
Ctnna3,Acc3_hypothalamus_conjugate_2,0.6381479790051049,0.034515698689574,UP
Maff,Acc3_hypothalamus_conjugate_2,-0.6423280720088571,0.0497344155554031,DOWN
Nwd2,Acc4_hypothalamus_Lira,-1.88210314150124,0.0206089013436558,DOWN
Arhgef3,Acc5_arc_IP118_PY115,0.5485842982379538,0.0022614617154432,UP
Hif3a,Acc5_arc_IP118_PY115,1.3404892738534002,0.0043071979549082,UP
F3,Acc5_arc_IP118_PY115,0.5185212985358929,0.0062441933358479,UP
Zbtb16,Acc5_arc_IP118_PY115,1.1839366225684416,0.0120177941037626,UP
Mertk,Acc5_arc_IP118_PY115,0.6590232760243064,0.0124668159506677,UP
Cdkn1a,Acc5_arc_IP118_PY115,1.2196699924152254,0.0157214506287023,UP
Fosl2,Acc5_arc_IP118_PY115,0.8518583211636914,0.0235804211336106,UP
Fam107b,Acc5_arc_IP118_PY115,0.6186959402297776,0.0235804211336106,UP
Kcng1,Acc5_arc_IP118_PY115,-0.5775703433003693,0.0251254823002243,DOWN
Arl4d,Acc5_arc_IP118_PY115,1.252298898858489,0.043902904110856,UP
Map3k6,Acc5_nts_IP118_PY115,0.9979352954828928,0.0005817116491106,UP
Arrdc2,Acc5_nts_IP118_PY115,1.0665975282324371,0.0018990985568403,UP
Mertk,Acc5_nts_IP118_PY115,0.7201266751386312,0.0018990985568403,UP
F3,Acc5_nts_IP118_PY115,0.5480252452308263,0.0018990985568403,UP
Slc2a1,Acc5_nts_IP118_PY115,0.5338352128054018,0.0018990985568403,UP
Egr4,Acc5_nts_IP118_PY115,2.4407677003448778,0.004284900080143,UP
Hif3a,Acc5_nts_IP118_PY115,0.9862538593712664,0.0047874068220904,UP
Ptgs2,Acc5_nts_IP118_PY115,1.959004279200245,0.0052783508834512,UP
Nrros,Acc5_nts_IP118_PY115,0.8861867901404199,0.0052783508834512,UP
Islr2,Acc5_nts_IP118_PY115,1.2127708739432583,0.0092660286161282,UP
Gm13889,Acc5_nts_IP118_PY115,1.1157031905628805,0.0125547367809049,UP
Cdkn1a,Acc5_nts_IP118_PY115,1.4841157029056762,0.0159645738804752,UP
Cebpd,Acc5_nts_IP118_PY115,0.7728915612673121,0.0170189498439532,UP
