gene_symbol,n_groups_hibi,predominant_direction_hibi,mean_log2FC_hibi,n_groups_glp1r,predominant_direction_glp1r,mean_log2FC_glp1r,direction_concordant
Fam167a,4,UP,0.8779115631832717,4,UP,7.037847197536861,True
Clec2d,4,UP,0.8072064842091206,4,UP,0.7663360860163909,True
Mfap3l,4,DOWN,0.5135775118081514,4,DOWN,-0.1618987281279874,True
Polr1c,4,UP,0.421755458567296,4,UP,0.3270821531404324,True
B230219d22rik,4,DOWN,-0.9915667274305908,4,DOWN,-0.2949770108039522,True
Gpr34,4,DOWN,-1.0513088411097873,4,DOWN,-0.2415542917743181,True
B3galt2,4,DOWN,-1.132368680115352,4,DOWN,-0.3437392794015793,True
Gpm6a,4,DOWN,-2.0042964506793703,4,DOWN,-0.2306953458194732,True
Pcdh9,4,DOWN,-2.032516322238129,4,DOWN,-0.1944054334345462,True
Cbx8,4,UP,1.3508580638043706,3,UP,0.2236191493277849,True
Rrs1,4,UP,1.2908808067003734,3,UP,1.1252595428330727,True
Pim3,4,UP,1.1553315500895849,3,UP,0.747108015078044,True
Tmem208,4,UP,0.6897548137960513,3,UP,0.3156704012261897,True
Pmvk,4,UP,0.6407046681295584,3,UP,0.4203907587072802,True
Rps10,4,UP,0.5855847314517595,3,UP,0.3078036783381374,True
Bcl6,4,DOWN,-0.1435617075879522,3,DOWN,0.043698033527258,True
Mcc,4,UP,-0.2337742105489284,3,UP,0.220305000363387,True
Acsl4,4,DOWN,-0.260947166109489,3,DOWN,-0.3748863877757808,True
Zfr,4,DOWN,-0.4293050529735565,3,DOWN,-0.2769696294699886,True
Usp32,4,DOWN,-0.5253732667685869,3,DOWN,-0.1223910482372892,True
Pja2,4,DOWN,-0.5360368467756214,3,DOWN,-0.2398102643700044,True
Gnal,4,DOWN,-0.5466088416833634,3,DOWN,-0.1204065674282046,True
Arhgap35,4,DOWN,-0.6307360713725245,3,DOWN,-0.0723335297099753,True
Zfp148,4,DOWN,-0.6508486338325095,3,DOWN,-0.2797022983009474,True
Magi2,4,DOWN,-0.689334727609062,3,DOWN,-0.0629716278588821,True
Casd1,4,DOWN,-0.7130522922540661,3,DOWN,-0.10869958792559,True
Gmps,4,DOWN,-0.7278482538970339,3,DOWN,-0.31384262028387,True
Gabbr2,4,DOWN,-0.7585524973941933,3,DOWN,-0.1194022239197496,True
Fgf13,4,DOWN,-0.8516655580223176,3,DOWN,-0.3324995021980936,True
Slc16a7,4,DOWN,-0.8567845471027224,3,DOWN,-0.1779155021981827,True
Ephb2,4,DOWN,-0.8581463595691328,3,DOWN,-2.264494217838322,True
Trpc5,4,DOWN,-0.8625709774037329,3,DOWN,-0.0213252675696298,True
Nfia,4,DOWN,-1.0561516901649517,3,DOWN,-0.4167910434682948,True
Enho,4,UP,-1.091509022521802,3,UP,0.3101670030868984,True
Cxxc5,4,DOWN,-1.1470631863197085,3,DOWN,-0.3107306702916465,True
Cnr1,4,DOWN,-1.5978354362781635,3,DOWN,-0.2635761639691314,True
Elavl2,4,DOWN,-1.7764292369121666,3,DOWN,-0.1202847419268593,True
Gabrg2,4,DOWN,-1.870764118484242,3,DOWN,-0.3386142115070497,True
Hecw1,4,DOWN,-1.9834582215631804,3,DOWN,-0.0967571072826061,True
Adam8,4,UP,4.4710054575684826,2,UP,-0.1273539551981395,True
Armcx6,4,UP,1.6116583425896316,2,UP,0.3023979567113593,True
Rbm38,4,UP,1.5531497150655418,2,UP,-0.1797813293748557,True
Snhg16,4,UP,1.504040093353141,2,UP,0.606406683711513,True
Aff1,4,UP,1.3093856423758234,2,UP,0.3277220341952704,True
Tcirg1,4,UP,1.2222396799634183,2,UP,3.6208925824189535,True
Bbc3,4,UP,1.1385914455015942,2,UP,0.5137835268661536,True
Rbms1,4,UP,0.9383877999454858,2,UP,-0.0116184111190711,True
Gbp3,4,UP,0.9004870261267442,2,UP,0.4614356056749999,True
Irgm2,4,UP,0.891064165456919,2,UP,0.5589593132597204,True
Oser1,4,UP,0.8882515550596111,2,UP,0.2789197299,True
Thoc1,4,UP,0.8434373263515065,2,UP,-0.027057761992427,True
Miip,4,UP,0.786510800535104,2,UP,0.3033224614772994,True
Malat1,4,UP,0.7227797831543166,2,UP,0.4325920201351417,True
Firre,4,UP,0.6947057464923191,2,UP,0.294618587049486,True
Ak2,4,UP,0.693711606235368,2,UP,0.403630681031446,True
Ftl1,4,UP,0.6782801088774848,2,UP,0.4527411729197274,True
Gorasp2,4,UP,0.1800500506127239,2,UP,-0.0011280599000005,True
Yipf6,4,UP,0.1583538744391363,2,UP,0.0179168122577813,True
Eif1ax,4,DOWN,-0.0761836046575291,2,DOWN,-0.2819546849962886,True
Laptm5,4,UP,-0.1188439702675323,2,UP,-0.0502364045488162,True
Rprd1a,4,DOWN,-0.2866497864997124,2,DOWN,-0.2900001315895411,True
Gbp7,4,UP,-0.317155961072858,2,UP,0.364432107645212,True
Midn,4,UP,-0.4133216424782884,2,UP,0.0837346282678316,True
Fam120a,4,DOWN,-0.4971593883194991,2,DOWN,-0.2209451198983901,True
Map2k4,4,DOWN,-0.5992161106899356,2,DOWN,-0.2549589083500716,True
Nkain2,4,DOWN,-0.6064962873319564,2,DOWN,-0.2425962670175093,True
Pafah1b1,4,DOWN,-0.6151863454456147,2,DOWN,-0.2334609644446924,True
Sh3rf3,4,DOWN,-0.6383595126685813,2,DOWN,-0.3410373821943521,True
Slc35a5,4,DOWN,-0.664856590396383,2,DOWN,-0.2669542743728499,True
Lrpprc,4,DOWN,-0.6753113406692539,2,DOWN,-0.276219666145955,True
