ID,logFC
Atp11c,6.318114249621972
Acvr1c,4.227609112788498
Tmem160,1.8584464804758936
Fance,1.329174177651287
Zfyve9,1.087397502196747
Glrx5,1.082822738851617
Hras,0.8743098337772472
Mt2,0.8279362157476047
Chka,0.785675477954391
Sult1a1,0.6084876025848638
Tmem65,0.591861986366949
Slmap,0.573920644555446
Lnpep,0.5567165307632145
Mxd4,0.5406631255339737
Bex1,0.5193204048492062
Tmem256,0.4864346821346005
Ndufa5,0.4745819058896401
Atp5mpl,0.4566785283428053
Ndufb9,0.450544099593225
Polr2k,0.3895330177600022
Nadk2,0.3894611577743605
Kcna5,0.3608701594312326
Glul,0.3600742019952799
Errfi1,0.2979127358711027
Rnf11,0.293305825421883
Shc3,0.2593218793468334
Cox17,0.2396881769996199
Aff2,0.2059643667192225
Rpl26,0.1872328265952134
Wnk2,0.1770309595652132
Ndufb4,0.1753688086189486
Ank2,0.16114596242194
Lrp1,0.1547963136268957
Ptp4a1,0.1314781672564665
Hadhb,0.1306626991544696
Cyfip2,0.1302015606287699
Ctnnd2,0.1275076149981272
Soga1,0.1242593009843197
Gnai1,0.1190597083925826
Foxk1,0.1161220367404115
Rpl39,0.1155742126963029
Kpna3,0.073457403711188
Snx5,0.0573165512359764
Fstl4,0.0479279213712606
Smox,0.0417308187989437
Tfrc,0.0403933580408015
Ptges3,0.0392121313855307
Rpl24,0.0369966426951295
Chga,0.0333836354940866
P2ry12,0.0131322797641002
Nudt4,-0.0015658186234898
Me1,-0.0102247823578611
Clcn3,-0.0108291893975772
Slc22a23,-0.0133335185084188
Slc35e2,-0.0157865081397563
Picalm,-0.0370446041074853
Rnd3,-0.0399066554704453
Pdzd8,-0.0423870210171846
Fam91a1,-0.0428934688583294
Slain1,-0.0593963478951534
Zfp800,-0.070817019559568
Zmiz1,-0.089306055820998
Phtf2,-0.0934302864593996
Grm3,-0.1204500287160159
Edem1,-0.1227009185661278
Bcr,-0.1337742825894438
Ppargc1a,-0.1360857730328673
Specc1,-0.1390645447316253
Lypla1,-0.1408803614457766
Map2,-0.1484050932450862
D16ertd472e,-0.1502252764053233
Jam2,-0.1621108890455685
Irs2,-0.1630209637201136
Sp4,-0.1654394351017392
Prkaa2,-0.1658323235035883
Slc30a4,-0.1686455698733368
Cachd1,-0.1699029139960678
Acbd5,-0.1728690698135753
Hif1a,-0.1755350895193818
Vcpip1,-0.1761765101790098
Bicd1,-0.1820309358215408
Hipk3,-0.1830107899429869
Gpam,-0.1850996217912917
Cpeb3,-0.1851299517152734
Ptch1,-0.1871974307231717
C1ql3,-0.1882124805326413
