term,db,padj_hibi,padj_glp,n_genes_hibi,n_genes_glp,jaccard_genes,score_hibi,score_glp,frac_up_hibi,frac_up_glp,opposite,combined_sig
Ubiquitin Protein Ligase Binding,GO-MF,0.040669334533082,0.0049246888785623,66,94,0.13392857142857142,0.21729595810148822,0.0027461391089156095,0.5151515151515151,0.44680851063829785,False,3.6983541350657645
Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process,GO-BP,0.0098512313265089,0.0378279041296135,22,34,0.16666666666666666,0.28033770806054187,0.0056849611495580505,0.4090909090909091,0.38235294117647056,False,3.4286972030146607
Longevity regulating pathway,KEGG,0.008644821467994,0.0454029808871983,32,36,0.13043478260869565,0.26375008243167386,0.0919806892011838,0.46875,0.3333333333333333,False,3.4061596043425175
MAPK1/MAPK3 Signaling,Reactome,0.0100163972441754,0.044799970967317,58,86,0.11926605504587157,-0.12279812662937421,0.1561260947018128,0.3793103448275862,0.5697674418604651,True,3.3480107273860336
Regulation Of mRNA Stability,GO-BP,0.0216599835584551,0.0251825797157099,25,32,0.21621621621621623,0.17273563735794883,-0.09623830382000391,0.52,0.25,True,3.2632416599838794
EPH-Ephrin Signaling,Reactome,0.0255788466530783,0.0214257847349118,28,35,0.16279069767441862,-0.7239774456108333,0.2802106993592224,0.10714285714285714,0.6,True,3.261182304461456
Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process,GO-BP,0.0379578589994463,0.014906024373602,24,44,0.1320754716981132,0.22039470658301563,0.02634823528920112,0.4583333333333333,0.4318181818181818,False,3.247336464759438
mTOR signaling pathway,KEGG,0.0230316216488674,0.0285073123563298,33,52,0.18032786885245902,-0.04492462520613997,0.1989233389475672,0.42424242424242425,0.5,True,3.182719208080462
Clathrin-mediated Endocytosis,Reactome,0.0186641826337352,0.0357725749411827,34,49,0.12903225806451613,-0.5698575469748096,0.06519467727154582,0.20588235294117646,0.4489795918367347,True,3.1754408223422805
HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand,Reactome,0.0156354052471735,0.046247808245514,14,17,0.3,0.4086123643723984,-0.07910689410406907,0.42857142857142855,0.4117647058823529,True,3.1407997023061287
MAP Kinase Activation,Reactome,0.0419802213687137,0.0209218566187214,21,26,0.12121212121212122,0.5740215653677604,-0.057211089440855886,0.6190476190476191,0.34615384615384615,True,3.0563550541693405
Vesicle-mediated Transport,Reactome,0.047015396352102,0.0209761787233167,118,185,0.08225108225108226,-0.39619277525845203,0.050116550125626845,0.2627118644067797,0.44324324324324327,True,3.006033523643163
CLEC7A (Dectin-1) Signaling,Reactome,0.046579969517298,0.0259257819900246,21,37,0.15555555555555556,0.6660736078236911,-0.07786344721925957,0.5714285714285714,0.6486486486486487,True,2.918068935284053
Regulation Of Synapse Organization,GO-BP,0.0452660820836912,0.0476364539258058,13,14,0.3333333333333333,-0.9549096661094745,-0.06942506457614128,0.15384615384615385,0.42857142857142855,False,2.6662876683972763
