gene_symbol,n_groups_hibi,predominant_direction_hibi,mean_log2FC_hibi,n_groups_glp,predominant_direction_glp,mean_log2FC_glp,concordant,recur
Abca1,3,UP,1.8142574188652447,4,DOWN,-0.1983663984598399,False,7
Lrrc8c,3,UP,1.426610485676865,4,DOWN,-0.150451997043633,False,7
Pls1,3,UP,1.2501265639672443,4,DOWN,-0.3906354039224382,False,7
Foxn2,3,UP,1.0428783814721576,4,DOWN,-0.1612913583803548,False,7
Bclaf3,3,UP,0.9789171730911228,4,DOWN,-0.4243641203136027,False,7
Gca,3,UP,0.8526434775740327,4,DOWN,-0.1962508885074658,False,7
Slc16a1,3,UP,0.7728846684663747,4,DOWN,-0.3685314607302296,False,7
Mtmr10,3,UP,0.7474068418003897,4,DOWN,-0.2915058993447216,False,7
Prrx1,3,UP,0.7267559935369364,4,DOWN,-0.173289391362484,False,7
Kdr,3,UP,0.7193245570121315,4,DOWN,2.579222388751128,False,7
Dnajb4,3,UP,0.592087826223865,4,DOWN,-0.2648733086447469,False,7
Esco1,3,UP,0.5690855069605502,4,DOWN,-0.1631320929336371,False,7
Nab1,3,UP,0.4626087196211625,4,DOWN,-0.1923387778858616,False,7
Ahdc1,3,UP,0.3141898730550678,4,DOWN,-0.1837188351091902,False,7
Cep85l,3,UP,-0.4775229111811105,4,DOWN,-0.3433089462523215,False,7
Rbfox3,3,DOWN,-0.5440364304589475,4,UP,0.0923909067431862,False,7
Garem1,3,DOWN,-0.5528919151286159,4,UP,-0.0094014651310169,False,7
Ubald1,3,DOWN,-0.680414399132404,4,UP,0.1229129145131945,False,7
Arid2,3,DOWN,-0.8749408549272504,4,UP,0.2206246263024127,False,7
Grasp,3,DOWN,-0.9491546617164623,4,UP,0.4501059879464815,False,7
Hnrnpab,3,DOWN,-0.9965877941463704,4,UP,1.6373084563441906,False,7
H1f0,3,DOWN,-1.0356347883370012,4,UP,0.486240391129366,False,7
Map1lc3a,3,DOWN,-1.055213357840344,4,UP,0.6993584093063528,False,7
Gpd1,3,DOWN,-1.0605681334162584,4,UP,0.4718629907312625,False,7
Nudt3,3,DOWN,-1.1214747028024057,4,UP,0.7508684639882085,False,7
Setd7,3,DOWN,-1.2423269622354278,4,UP,0.0401829096209903,False,7
Tubb2b,3,DOWN,-1.3252490320856236,4,UP,-0.0370766506822742,False,7
