arm,term,db,padj
HIBI,Neuron Cell-Cell Adhesion,GO-BP,0.0005909436463423
HIBI,Regulation Of Macrophage Differentiation,GO-BP,0.0005909436463423
HIBI,"Synaptic Transmission, GABAergic",GO-BP,0.0005909436463423
HIBI,Regulation Of Interleukin-2 Production,GO-BP,0.0005909436463423
HIBI,Positive Regulation Of Macrophage Differentiation,GO-BP,0.0005909436463423
HIBI,Peptidyl-Tyrosine Dephosphorylation,GO-BP,0.0005981791432795
HIBI,Positive Regulation Of Dephosphorylation,GO-BP,0.0005981791432795
HIBI,Positive Regulation Of Stress-Activated MAPK Cascade,GO-BP,0.0005981791432795
HIBI,Regulation Of Neuron Apoptotic Process,GO-BP,0.0005981791432795
HIBI,Positive Regulation Of Protein Modification Process,GO-BP,0.0006095184230635
HIBI,Regulation Of Dendrite Development,GO-BP,0.0006224368711998
HIBI,Tuberculosis,KEGG,0.0006252209103085
HIBI,Regulation Of Cardiac Muscle Contraction,GO-BP,0.0006261104450337
HIBI,Negative Regulation Of Cell Cycle G1/S Phase Transition,GO-BP,0.0006261104450337
HIBI,Monoatomic Anion Transmembrane Transport,GO-BP,0.0006261104450337
HIBI,Amoebiasis,KEGG,0.0006388660059001
HIBI,Colorectal cancer,KEGG,0.0006444362033001
HIBI,Neutrophil Degranulation,Reactome,0.0006457568294692
HIBI,Protein Phosphorylation,GO-BP,0.0006683205325712
HIBI,Protein Kinase B Signaling,GO-BP,0.0006683205325712
HIBI,Positive Regulation Of p38MAPK Cascade,GO-BP,0.0006683205325712
HIBI,Neuron Differentiation,GO-BP,0.0006750884940949
HIBI,Positive Regulation Of Calcineurin-Mediated Signaling,GO-BP,0.0006750884940949
HIBI,Positive Regulation Of calcineurin-NFAT Signaling Cascade,GO-BP,0.0006750884940949
HIBI,Regulation Of Epithelial To Mesenchymal Transition,GO-BP,0.0006750884940949
HIBI,Positive Regulation Of Epithelial Cell Proliferation,GO-BP,0.0007396385703144
HIBI,Positive Regulation Of Cell Communication,GO-BP,0.0007651440514033
HIBI,Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress,GO-BP,0.0007651440514033
HIBI,Negative Regulation Of Peptidyl-Tyrosine Phosphorylation,GO-BP,0.0007651440514033
HIBI,Regulation Of Axonogenesis,GO-BP,0.0007651440514033
HIBI,Toxoplasmosis,KEGG,0.0007652828425968
HIBI,Relaxin signaling pathway,KEGG,0.0007652828425968
HIBI,Signaling By ALK Fusions And Activated Point Mutants,Reactome,0.0007954945366587
HIBI,Circulatory System Development,GO-BP,0.0007967344781495
HIBI,Non-small cell lung cancer,KEGG,0.0007990173097405
HIBI,Negative Regulation Of Microglial Cell Activation,GO-BP,0.0008023275646245
HIBI,Postsynaptic Density Organization,GO-BP,0.0008023275646245
HIBI,Regulation Of Myeloid Leukocyte Differentiation,GO-BP,0.0008023275646245
HIBI,Epstein-Barr virus infection,KEGG,0.0008047636603637
HIBI,Neutrophil Migration,GO-BP,0.0008183660543177
HIBI,Serotonergic synapse,KEGG,0.0008265298578639
HIBI,Wnt signaling pathway,KEGG,0.0008425634200819
HIBI,Neutrophil Chemotaxis,GO-BP,0.0008654393946498
HIBI,Regulation Of Osteoblast Differentiation,GO-BP,0.0008821467360169
HIBI,Regulation Of Biomineral Tissue Development,GO-BP,0.0008827657377074
HIBI,Positive Regulation Of Interleukin-2 Production,GO-BP,0.0008827657377074
HIBI,Presynapse Assembly,GO-BP,0.0008827657377074
HIBI,Negative Regulation Of Protein Processing,GO-BP,0.0008827657377074
HIBI,Regulation Of Postsynapse Organization,GO-BP,0.0008827657377074
HIBI,Regulation Of Endothelial Cell Proliferation,GO-BP,0.0008996834172724
HIBI,Regulation Of Peptidyl-Serine Phosphorylation,GO-BP,0.0008996834172724
HIBI,PD-L1 expression and PD-1 checkpoint pathway in cancer,KEGG,0.0009007844964277
HIBI,Neuroactive ligand-receptor interaction,KEGG,0.0009007844964277
HIBI,Ephrin Receptor Signaling Pathway,GO-BP,0.0009139925700094
HIBI,Ligand-Gated Monoatomic Anion Channel Activity,GO-MF,0.0009151967525752
HIBI,Cellular Response To Salt,GO-BP,0.0009169759945843
HIBI,Response To Fibroblast Growth Factor,GO-BP,0.0009378954385691
HIBI,Pulmonary Valve Development,GO-BP,0.0009378954385691
HIBI,Long-Term Synaptic Potentiation,GO-BP,0.0009378954385691
