gene_symbol,n_groups,predominant_direction,n_up,n_down,mean_log2FC,groups
Tubb6,9,UP,9,0,1.4150277920933712,HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Irf1,9,UP,8,1,1.3066271494030541,HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Pmp22,9,UP,9,0,1.2464724627992259,HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Mxd1,9,UP,9,0,1.0629327826904833,HIBI144455_forebrain_HI_vs_naive_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Sat1,9,UP,9,0,1.0560813773761824,HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Errfi1,9,UP,9,0,0.9385343365247976,HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Jund,9,UP,7,2,0.2827458138795132,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Mycbp2,9,DOWN,0,9,-0.775203307203263,HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Fam168a,9,DOWN,0,9,-0.8058342564861257,HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Ank3,9,DOWN,1,8,-1.048348282807397,HIBI23317_cortex_HI_vs_Sham_3h;HIBI23319_striatum_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_3d
